ID,OR,SR,OR-Description,SR-Description,Product,Quantity,quantityUnitOfMeasure,Crew,Shift,PostingDate
2792670,0124393001001,0124393001001,BAKING,BAKING,XMPL-BSC00,960.0000000000,g,A,Shift 2,2023-01-31 19:04:41.610
2792680,0124393001001,0124393001001,BAKING,BAKING,XMPL-BSC00,970.0000000000,g,A,Shift 2,2023-01-31 19:04:56.100
2792759,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,993.9900000000,g,A,Shift 2,2023-01-31 19:50:57.593
2792769,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,996.0000000000,g,A,Shift 2,2023-01-31 19:51:20.127
2792794,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,558.8400000000,g,A,Shift 2,2023-01-31 20:01:08.940
2792805,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,744.8000000000,g,A,Shift 2,2023-01-31 20:03:18.210
2792816,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,337.2800000000,g,A,Shift 2,2023-01-31 20:04:11.370
2792827,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,249.0000000000,g,A,Shift 2,2023-01-31 20:04:26.560
2793135,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,704.2400000000,g,D,Shift 2,2023-02-01 01:09:20.367
2793146,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,725.0000000000,g,D,Shift 2,2023-02-01 01:09:27.713
2793157,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,309.5200000000,g,D,Shift 2,2023-02-01 01:09:36.897
2793168,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,341.2400000000,g,D,Shift 2,2023-02-01 01:09:43.070
2793201,0124393001001,0124393001001,BAKING,BAKING,XMPL-BSC00,970.0000000000,g,D,Shift 2,2023-02-01 01:31:06.760
2793211,0124393001001,0124393001001,BAKING,BAKING,XMPL-BSC00,970.0000000000,g,D,Shift 2,2023-02-01 01:32:24.097
2793222,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,1035.0000000000,g,D,Shift 2,2023-02-01 01:56:55.120
2793232,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,1041.0000000000,g,D,Shift 2,2023-02-01 01:57:14.577
2793407,0124393001001,0124393001001,BAKING,BAKING,XMPL-BSC00,780.0000000000,g,D,Shift 2,2023-02-01 05:10:00.330
2793417,0124393001001,0124393001001,BAKING,BAKING,XMPL-BSC00,780.0000000000,g,D,Shift 2,2023-02-01 05:10:17.220
2793501,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,417.4000000000,g,D,Shift 2,2023-02-01 05:37:14.267
2793512,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,193.4400000000,g,D,Shift 2,2023-02-01 05:37:38.723
2793955,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,748.7600000000,g,C,Shift 1,2023-02-01 08:00:41.380
2793966,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,364.0800000000,g,C,Shift 1,2023-02-01 08:01:23.027
2793977,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,744.8000000000,g,C,Shift 1,2023-02-01 08:01:43.517
2793988,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,363.0800000000,g,C,Shift 1,2023-02-01 08:02:11.707
2794150,0124393001001,0124393001001,BAKING,BAKING,XMPL-BSC00,945.0000000000,g,C,Shift 1,2023-02-01 09:13:03.630
2794160,0124393001001,0124393001001,BAKING,BAKING,XMPL-BSC00,945.0000000000,g,C,Shift 1,2023-02-01 09:13:21.160
2794311,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,1335.0000000000,g,C,Shift 1,2023-02-01 10:10:56.777
2794321,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,1344.9900000000,g,C,Shift 1,2023-02-01 10:11:20.103
2794462,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,718.0800000000,g,C,Shift 1,2023-02-01 11:02:20.987
2794473,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,344.2400000000,g,C,Shift 1,2023-02-01 11:02:37.677
2794484,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,715.1200000000,g,C,Shift 1,2023-02-01 11:02:59.147
2794495,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,346.2000000000,g,C,Shift 1,2023-02-01 11:03:11.163
2794629,0124393001001,0124393001001,BAKING,BAKING,XMPL-BSC00,640.0000000000,g,C,Shift 1,2023-02-01 12:44:33.283
2794639,0124393001001,0124393001001,BAKING,BAKING,XMPL-BSC00,640.0000000000,g,C,Shift 1,2023-02-01 12:44:40.300
2794650,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,1355.0100000000,g,C,Shift 1,2023-02-01 13:03:23.813
2794660,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,1368.0000000000,g,C,Shift 1,2023-02-01 13:03:53.847
2794803,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,715.1200000000,g,C,Shift 1,2023-02-01 14:43:47.693
2794806,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,-16.8160000000,g,C,Shift 1,2023-02-01 14:44:43.793
2794817,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,332.3200000000,g,C,Shift 1,2023-02-01 14:45:36.440
2794828,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,693.3600000000,g,C,Shift 1,2023-02-01 14:46:03.603
2794839,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,338.2800000000,g,C,Shift 1,2023-02-01 14:46:21.947
2795115,0124241001001,0124241001001,BAKING,BAKING,GBTR-LG35,1060.0000000000,g,C,Shift 1,2023-02-01 16:57:34.413
2795125,0124241001001,0124241001001,BAKING,BAKING,GBTR-LG35,1060.0000000000,g,C,Shift 1,2023-02-01 16:57:54.277
2795378,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,1350.0000000000,g,D,Shift 2,2023-02-01 19:52:15.050
2795388,0124389001001,0124389001001,BAKING,BAKING,XMPL-BSC00,1359.0000000000,g,D,Shift 2,2023-02-01 19:52:29.487
2795553,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,692.3600000000,g,D,Shift 2,2023-02-01 21:43:55.523
2795564,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,692.3600000000,g,D,Shift 2,2023-02-01 21:44:21.377
2795575,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,318.4400000000,g,D,Shift 2,2023-02-01 21:44:46.810
2795586,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,332.3200000000,g,D,Shift 2,2023-02-01 21:45:00.247
2795724,0124390001001,0124390001001,BAKING,BAKING,GBTR-LG35,888.0000000000,g,D,Shift 2,2023-02-01 22:52:39.177
2795734,0124390001001,0124390001001,BAKING,BAKING,GBTR-LG35,888.0000000000,g,D,Shift 2,2023-02-01 22:52:53.490
2796098,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,746.9600000000,g,D,Shift 2,2023-02-02 02:50:43.500
2796109,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,751.9200000000,g,D,Shift 2,2023-02-02 02:51:06.397
2796112,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,-386.8800000000,g,D,Shift 2,2023-02-02 02:52:01.790
2796115,0124320001001,0124320001001_001,BAKING,BAKING,XMPL-BLD45,-393.8400000000,g,D,Shift 2,2023-02-02 02:52:23.830
2796126,0124320001001,0124320001001,BAKING,BAKING,XMPL-BLD45,744.8000000000,g,D,Shift 2,2023-02-02 02:52:53.077
