ID,OR,SR,OR-Description,SR-Description,Description,StartTime,EndTime,Category,Crew,Shift,WorkCenter,DowntimeDuration
142979,0124785001001,0124785001001,BAKING,BAKING,Oven Ventilation Check,2023-02-26 16:38:13.000,2023-02-26 16:51:44.000,Production Interruption,C,Shift 1,BREADBLAST04,13
154881,0125622001001,0125622001001,BAKING,BAKING,Oven Ventilation Check,2023-05-11 19:15:27.000,2023-05-11 19:20:54.000,Production Interruption,C,Shift 1,BREADBLAST04,5
154883,0125724001001,0125724001001,BAKING,BAKING,Oven Ventilation Check,2023-05-11 19:26:48.000,2023-05-11 19:47:46.000,Production Interruption,C,Shift 1,BREADBLAST05,21
154910,0125494001001,0125494001001,BAKING,BAKING,Oven Ventilation Check,2023-05-12 02:20:28.000,2023-05-12 02:35:39.000,Production Interruption,D,Shift 2,BREADBLAST06,15
154878,0125622001001,0125622001001,BAKING,BAKING,Oven Ventilation Check,2023-05-11 18:53:03.000,2023-05-11 18:58:16.000,Production Interruption,C,Shift 1,BREADBLAST04,5
154930,0125494001001,0125494001001,BAKING,BAKING,Air Pocket Defect,2023-05-12 09:08:17.000,2023-05-12 09:40:25.000,Production Interruption,A,Shift 2,BREADBLAST06,32
154931,0125494001001,0125494001001,BAKING,BAKING,Air Pocket Defect,2023-05-12 09:40:30.000,2023-05-12 10:03:46.000,Production Interruption,A,Shift 2,BREADBLAST06,23
154932,0125494001001,0125494001001,BAKING,BAKING,Air Pocket Defect,2023-05-12 10:03:51.000,2023-05-12 10:25:44.000,Production Interruption,A,Shift 2,BREADBLAST06,22
154956,,,,,Air Pocket Defect,2023-05-12 13:27:46.000,2023-05-12 13:50:14.000,Production Interruption,B,Shift 1,BREADBLAST06,23
154933,0125494001001,0125494001001,BAKING,BAKING,Air Pocket Defect,2023-05-12 10:25:49.000,2023-05-12 10:46:25.000,Production Interruption,A,Shift 2,BREADBLAST06,21
154948,,,,,Product/Size/Shape,2023-05-12 10:46:30.000,2023-05-12 13:02:55.000,Recipe Transition,A,Shift 2,BREADBLAST06,74
154949,,,,,Product/Size/Shape,2023-05-12 10:46:30.000,2023-05-12 13:02:55.000,Recipe Transition,B,Shift 1,BREADBLAST06,61
154952,,,,,Product/Size/Shape,2023-05-12 13:03:00.000,2023-05-12 13:27:41.000,Recipe Transition,B,Shift 1,BREADBLAST06,24
154957,,,,,Air Pocket Defect,2023-05-12 13:50:19.000,2023-05-12 13:51:39.000,Production Interruption,B,Shift 1,BREADBLAST06,1
154971,0125622001001,0125622001001,BAKING,BAKING,Air Pocket Defect,2023-05-12 16:01:32.000,2023-05-12 16:29:02.000,Production Interruption,B,Shift 1,BREADBLAST04,28
154973,0125661001001,0125661001001,BAKING,BAKING,Emergency Stop,2023-05-12 15:55:00.000,2023-05-12 16:30:46.000,Machine Malfunction,B,Shift 1,BREADBLAST06,35
154974,0125622001001,0125622001001,BAKING,BAKING,Air Pocket Defect,2023-05-12 16:29:07.000,2023-05-12 16:33:44.000,Production Interruption,B,Shift 1,BREADBLAST04,4
154976,0125673001001,0125673001001,BAKING,BAKING,Air Pocket Defect,2023-05-12 16:00:00.000,2023-05-12 16:15:00.000,Production Interruption,B,Shift 1,BREADBLAST07,15
154979,0125947001001,0125947001001,BAKING,BAKING,Oven Ventilation Check,2023-05-12 16:39:28.000,2023-05-12 17:00:06.000,Production Interruption,B,Shift 1,BREADBLAST05,21
154187,0125544001001,0125544001001,BAKING,BAKING,Air Pocket Defect,2023-05-07 13:58:17.000,2023-05-07 14:20:36.000,Production Interruption,C,Shift 1,BREADBLAST04,22
154190,0125544001001,0125544001001,BAKING,BAKING,Air Pocket Defect,2023-05-07 14:20:41.000,2023-05-07 14:35:32.000,Production Interruption,C,Shift 1,BREADBLAST04,15
154207,0125957001001,0125957001001,BAKING,BAKING,Oven Ventilation Check,2023-05-07 17:16:16.000,2023-05-07 17:30:12.000,Production Interruption,C,Shift 1,BREADBLAST05,14
154234,0125544001001,0125544001001,BAKING,BAKING,Air Pocket Defect,2023-05-07 20:45:47.000,2023-05-07 21:07:27.000,Production Interruption,C,Shift 1,BREADBLAST04,22
154236,0125544001001,0125544001001,BAKING,BAKING,Air Pocket Defect,2023-05-07 21:07:32.000,2023-05-07 21:10:41.000,Production Interruption,C,Shift 1,BREADBLAST04,3
154214,0125544001001,0125544001001,BAKING,BAKING,Air Pocket Defect,2023-05-07 18:01:46.000,2023-05-07 18:28:11.000,Production Interruption,C,Shift 1,BREADBLAST04,27
154217,0125544001001,0125544001001,BAKING,BAKING,Air Pocket Defect,2023-05-07 18:28:16.000,2023-05-07 18:45:27.000,Production Interruption,C,Shift 1,BREADBLAST04,17
167554,0127182001001,0127182001001,BAKING,BAKING,Ingredient Pump/Filters/Supply,2023-07-23 06:12:05.000,2023-07-23 06:16:04.000,Machine Malfunction,A,Shift 2,BREADBLAST04,4
167606,0127234001001,0127234001001,BAKING,BAKING,Recipe Completion,2023-07-23 13:03:57.000,2023-07-23 13:32:04.000,Production Interruption,B,Shift 1,BREADBLAST05,29
167579,0127182001001,0127182001001,BAKING,BAKING,Air Pocket Defect,2023-07-23 10:09:10.000,2023-07-23 10:32:13.000,Production Interruption,A,Shift 2,BREADBLAST04,23
167581,0127182001001,0127182001001,BAKING,BAKING,Air Pocket Defect,2023-07-23 10:32:18.000,2023-07-23 10:34:49.000,Production Interruption,A,Shift 2,BREADBLAST04,2
