Tag,value,timestamp
BREADBLAST04_Temperature,214.27,2023-04-30T00:00:00
BREADBLAST04_Temperature,214.96,2023-04-30T00:00:10
BREADBLAST04_Temperature,214.95,2023-04-30T00:00:20
BREADBLAST04_Temperature,214.88,2023-04-30T00:00:30
BREADBLAST04_Temperature,214.87,2023-04-30T00:00:40
BREADBLAST04_Temperature,214.94,2023-04-30T00:00:50
BREADBLAST04_Temperature,215,2023-04-30T00:01:00
BREADBLAST04_Temperature,215,2023-04-30T00:01:10
BREADBLAST04_Temperature,215,2023-04-30T00:01:20
BREADBLAST04_Temperature,215.01,2023-04-30T00:01:30
BREADBLAST04_Temperature,214.27,2023-04-30T00:01:40
BREADBLAST04_Temperature,214.27,2023-04-30T00:01:50
BREADBLAST04_Temperature,214.92,2023-04-30T00:02:00
BREADBLAST04_Temperature,214.9,2023-04-30T00:02:10
BREADBLAST04_Temperature,214.94,2023-04-30T00:02:20
BREADBLAST04_Temperature,214.94,2023-04-30T00:02:30
BREADBLAST04_Temperature,214.27,2023-04-30T00:02:40
BREADBLAST04_Temperature,214.27,2023-04-30T00:02:50
BREADBLAST04_Temperature,214.27,2023-04-30T00:03:00
BREADBLAST04_Temperature,214.27,2023-04-30T00:03:10
BREADBLAST04_Temperature,214.27,2023-04-30T00:03:20
BREADBLAST04_Temperature,214.27,2023-04-30T00:03:30
BREADBLAST04_Temperature,215.04,2023-04-30T00:03:40
BREADBLAST04_Temperature,214.27,2023-04-30T00:03:50
BREADBLAST04_Temperature,214.91,2023-04-30T00:04:00
BREADBLAST04_Temperature,215.01,2023-04-30T00:04:10
BREADBLAST04_Temperature,214.27,2023-04-30T00:04:20
BREADBLAST04_Temperature,214.93,2023-04-30T00:04:30
BREADBLAST04_Temperature,214.86,2023-04-30T00:04:40
BREADBLAST04_Temperature,214.8,2023-04-30T00:04:50
BREADBLAST04_Temperature,214.27,2023-04-30T00:05:00
BREADBLAST04_Temperature,214.82,2023-04-30T00:05:10
BREADBLAST04_Temperature,214.8,2023-04-30T00:05:20
BREADBLAST04_Temperature,214.78,2023-04-30T00:05:30
BREADBLAST04_Temperature,214.83,2023-04-30T00:05:40
BREADBLAST04_Temperature,214.8,2023-04-30T00:05:50
BREADBLAST04_Temperature,214.81,2023-04-30T00:06:00
BREADBLAST04_Temperature,214.78,2023-04-30T00:06:10
BREADBLAST04_Temperature,214.84,2023-04-30T00:06:20
BREADBLAST04_Temperature,214.27,2023-04-30T00:06:30
BREADBLAST04_Temperature,214.27,2023-04-30T00:06:40
BREADBLAST04_Temperature,214.69,2023-04-30T00:06:50
BREADBLAST04_Temperature,214.27,2023-04-30T00:07:00
BREADBLAST04_Temperature,214.72,2023-04-30T00:07:10
BREADBLAST04_Temperature,214.79,2023-04-30T00:07:20
BREADBLAST04_Temperature,214.27,2023-04-30T00:07:30
BREADBLAST04_Temperature,214.27,2023-04-30T00:07:40
BREADBLAST04_Temperature,214.86,2023-04-30T00:07:50
BREADBLAST04_Temperature,214.91,2023-04-30T00:08:00
BREADBLAST04_Temperature,214.85,2023-04-30T00:08:10
BREADBLAST04_Temperature,214.76,2023-04-30T00:08:20
BREADBLAST04_Temperature,214.77,2023-04-30T00:08:30
BREADBLAST04_Temperature,214.83,2023-04-30T00:08:40
BREADBLAST04_Temperature,214.27,2023-04-30T00:08:50
BREADBLAST04_Temperature,214.86,2023-04-30T00:09:00
BREADBLAST04_Temperature,214.96,2023-04-30T00:09:10
BREADBLAST04_Temperature,214.27,2023-04-30T00:09:20
BREADBLAST04_Temperature,214.96,2023-04-30T00:09:30
BREADBLAST04_Temperature,215.05,2023-04-30T00:09:40
BREADBLAST04_Temperature,215.02,2023-04-30T00:09:50
BREADBLAST04_Temperature,215.05,2023-04-30T00:10:00
BREADBLAST04_Temperature,215.03,2023-04-30T00:10:10
BREADBLAST04_Temperature,214.27,2023-04-30T00:10:20
BREADBLAST04_Temperature,214.88,2023-04-30T00:10:30
BREADBLAST04_Temperature,214.8,2023-04-30T00:10:40
BREADBLAST04_Temperature,214.86,2023-04-30T00:10:50
BREADBLAST04_Temperature,214.91,2023-04-30T00:11:00
BREADBLAST04_Temperature,214.83,2023-04-30T00:11:10
BREADBLAST04_Temperature,214.27,2023-04-30T00:11:20
BREADBLAST04_Temperature,214.27,2023-04-30T00:11:30
BREADBLAST04_Temperature,214.73,2023-04-30T00:11:40
BREADBLAST04_Temperature,214.83,2023-04-30T00:11:50
BREADBLAST04_Temperature,214.27,2023-04-30T00:12:00
BREADBLAST04_Temperature,214.86,2023-04-30T00:12:10
BREADBLAST04_Temperature,214.89,2023-04-30T00:12:20
BREADBLAST04_Temperature,214.27,2023-04-30T00:12:30
BREADBLAST04_Temperature,214.75,2023-04-30T00:12:40
BREADBLAST04_Temperature,214.73,2023-04-30T00:12:50
BREADBLAST04_Temperature,214.7,2023-04-30T00:13:00
BREADBLAST04_Temperature,214.78,2023-04-30T00:13:10
BREADBLAST04_Temperature,214.27,2023-04-30T00:13:20
BREADBLAST04_Temperature,214.86,2023-04-30T00:13:30
BREADBLAST04_Temperature,214.83,2023-04-30T00:13:40
BREADBLAST04_Temperature,214.76,2023-04-30T00:13:50
BREADBLAST04_Temperature,214.27,2023-04-30T00:14:00
BREADBLAST04_Temperature,214.83,2023-04-30T00:14:10
BREADBLAST04_Temperature,214.27,2023-04-30T00:14:20
