ID,OR,SR,OR-Description,SR-Description,Product,WorkCenter,Facility,StorageLocation,Quantity,quantityUnitOfMeasure,Lot,PostingDate,Crew,Shift
484618,0125545001001,0125545001001,BAKING,BAKING,PITXMPL480G46,BREADBLAST04,HYD,STG04,550,g,HYDM3140620,14-06-2023 22:32:04,A,Shift 2
484619,0125545001001,0125545001001,BAKING,BAKING,PITXMPL480G46,BREADBLAST04,HYD,STG04,550,g,HYDM3140621,14-06-2023 22:32:12,A,Shift 2
484620,0125545001001,0125545001001_001,BAKING,BAKING,PITXMPL420G46,BREADBLAST04,HYD,STG04,490,g,HYDM3140622,14-06-2023 22:32:23,A,Shift 2
484621,0125545001001,0125545001001_001,BAKING,BAKING,PITXMPL420G46,BREADBLAST04,HYD,STG04,490,g,HYDM3140623,14-06-2023 22:32:31,A,Shift 2
484656,0126444001001,0126444001001,BAKING,BAKING,PITXMPL720G46,BREADBLAST07,HYD,STG07,790,g,HYDQ3150600,15-06-2023 02:05:35,A,Shift 2
484657,0126444001001,0126444001001,BAKING,BAKING,PITXMPL720G46,BREADBLAST07,HYD,STG07,700,g,HYDQ3150601,15-06-2023 02:05:52,A,Shift 2
484658,0126444001001,0126444001001_001,BAKING,BAKING,PITXMPL240G46,BREADBLAST07,HYD,STG07,280,g,HYDQ3150602,15-06-2023 02:06:14,A,Shift 2
484659,0126444001001,0126444001001_001,BAKING,BAKING,PITXMPL240G46,BREADBLAST07,HYD,STG07,260,g,HYDQ3150603,15-06-2023 02:06:30,A,Shift 2
484563,0126444001001,0126444001001,BAKING,BAKING,PITXMPL720G46,BREADBLAST07,HYD,STG07,557,g,HYDQ3140614,14-06-2023 16:46:25,B,Shift 1
484564,0126444001001,0126444001001,BAKING,BAKING,PITXMPL720G46,BREADBLAST07,HYD,STG07,559,g,HYDQ3140615,14-06-2023 16:46:48,B,Shift 1
484565,0126444001001,0126444001001_001,BAKING,BAKING,PITXMPL240G46,BREADBLAST07,HYD,STG07,190,g,HYDQ3140616,14-06-2023 16:47:13,B,Shift 1
484567,0126444001001,0126444001001_001,BAKING,BAKING,PITXMPL240G46,BREADBLAST07,HYD,STG07,202,g,HYDQ3140617,14-06-2023 16:47:30,B,Shift 1
484572,0126618001001,0126618001001,BAKING,BAKING,PITXMPL640G35,BREADBLAST06,HYD,STG06,723,g,HYDL3140620,14-06-2023 17:07:27,B,Shift 1
484573,0126618001001,0126618001001,BAKING,BAKING,PITXMPL640G35,BREADBLAST06,HYD,STG06,742,g,HYDL3140621,14-06-2023 17:07:34,B,Shift 1
484607,0126618001001,0126618001001,BAKING,BAKING,PITXMPL640G35,BREADBLAST06,HYD,STG06,732,g,HYDL3140625,14-06-2023 21:44:43,A,Shift 2
484608,0126618001001,0126618001001,BAKING,BAKING,PITXMPL640G35,BREADBLAST06,HYD,STG06,724,g,HYDL3140626,14-06-2023 21:45:09,A,Shift 2
484609,0126618001001,0126618001001_001,BAKING,BAKING,PITXMPL320G35,BREADBLAST06,HYD,STG06,382,g,HYDL3140627,14-06-2023 21:45:47,A,Shift 2
