PrimaryKey,id,description,equipmentUse,quantity,quantityUnitOfMeasure
484618EA_0125545001001BREADBLAST040hours,484618EA_0125545001001,BREADBLAST04,BREADBLAST04,0,hours
484619EA_0125545001001BREADBLAST040hours,484619EA_0125545001001,BREADBLAST04,BREADBLAST04,0,hours
484620EA_0125545001001_001BREADBLAST040hours,484620EA_0125545001001_001,BREADBLAST04,BREADBLAST04,0,hours
484621EA_0125545001001_001BREADBLAST040hours,484621EA_0125545001001_001,BREADBLAST04,BREADBLAST04,0,hours
484656EA_0126444001001BREADBLAST070hours,484656EA_0126444001001,BREADBLAST07,BREADBLAST07,0,hours
484657EA_0126444001001BREADBLAST070hours,484657EA_0126444001001,BREADBLAST07,BREADBLAST07,0,hours
484658EA_0126444001001_001BREADBLAST070hours,484658EA_0126444001001_001,BREADBLAST07,BREADBLAST07,0,hours
484659EA_0126444001001_001BREADBLAST070hours,484659EA_0126444001001_001,BREADBLAST07,BREADBLAST07,0,hours
484563EA_0126444001001BREADBLAST070hours,484563EA_0126444001001,BREADBLAST07,BREADBLAST07,0,hours
484564EA_0126444001001BREADBLAST070hours,484564EA_0126444001001,BREADBLAST07,BREADBLAST07,0,hours
484565EA_0126444001001_001BREADBLAST070hours,484565EA_0126444001001_001,BREADBLAST07,BREADBLAST07,0,hours
484567EA_0126444001001_001BREADBLAST070hours,484567EA_0126444001001_001,BREADBLAST07,BREADBLAST07,0,hours
484572EA_0126618001001BREADBLAST060hours,484572EA_0126618001001,BREADBLAST06,BREADBLAST06,0,hours
484573EA_0126618001001BREADBLAST060hours,484573EA_0126618001001,BREADBLAST06,BREADBLAST06,0,hours
484607EA_0126618001001BREADBLAST060hours,484607EA_0126618001001,BREADBLAST06,BREADBLAST06,0,hours
484608EA_0126618001001BREADBLAST060hours,484608EA_0126618001001,BREADBLAST06,BREADBLAST06,0,hours
484609EA_0126618001001_001BREADBLAST060hours,484609EA_0126618001001_001,BREADBLAST06,BREADBLAST06,0,hours
484610EA_0126618001001_001BREADBLAST060hours,484610EA_0126618001001_001,BREADBLAST06,BREADBLAST06,0,hours
484574EA_0126618001001_001BREADBLAST060hours,484574EA_0126618001001_001,BREADBLAST06,BREADBLAST06,0,hours
484675EA_0126202001001BREADBLAST040hours,484675EA_0126202001001,BREADBLAST04,BREADBLAST04,0,hours
484676EA_0126202001001BREADBLAST040hours,484676EA_0126202001001,BREADBLAST04,BREADBLAST04,0,hours
484575EA_0126618001001_001BREADBLAST060hours,484575EA_0126618001001_001,BREADBLAST06,BREADBLAST06,0,hours
484628EA_0126444001001BREADBLAST070hours,484628EA_0126444001001,BREADBLAST07,BREADBLAST07,0,hours
484629EA_0126444001001BREADBLAST070hours,484629EA_0126444001001,BREADBLAST07,BREADBLAST07,0,hours
484630EA_0126444001001_001BREADBLAST070hours,484630EA_0126444001001_001,BREADBLAST07,BREADBLAST07,0,hours
484631EA_0126444001001_001BREADBLAST070hours,484631EA_0126444001001_001,BREADBLAST07,BREADBLAST07,0,hours
484634EA_0126275001001BREADBLAST050hours,484634EA_0126275001001,BREADBLAST05,BREADBLAST05,0,hours
484635EA_0126275001001BREADBLAST050hours,484635EA_0126275001001,BREADBLAST05,BREADBLAST05,0,hours
484645EA_0126202001001BREADBLAST040hours,484645EA_0126202001001,BREADBLAST04,BREADBLAST04,0,hours
465918EA_0125036001001BREADBLAST050hours,465918EA_0125036001001,BREADBLAST05,BREADBLAST05,0,hours
465919EA_0125036001001BREADBLAST050hours,465919EA_0125036001001,BREADBLAST05,BREADBLAST05,0,hours
465922EA_0124941001001BREADBLAST070hours,465922EA_0124941001001,BREADBLAST07,BREADBLAST07,0,hours
465923EA_0124941001001BREADBLAST070hours,465923EA_0124941001001,BREADBLAST07,BREADBLAST07,0,hours
465924EA_0124941001001_001BREADBLAST070hours,465924EA_0124941001001_001,BREADBLAST07,BREADBLAST07,0,hours
465925EA_0124941001001_001BREADBLAST070hours,465925EA_0124941001001_001,BREADBLAST07,BREADBLAST07,0,hours
465934EA_0125036001001BREADBLAST050hours,465934EA_0125036001001,BREADBLAST05,BREADBLAST05,0,hours
465935EA_0125036001001BREADBLAST050hours,465935EA_0125036001001,BREADBLAST05,BREADBLAST05,0,hours
465936EA_0125036001001_001BREADBLAST050hours,465936EA_0125036001001_001,BREADBLAST05,BREADBLAST05,0,hours
465937EA_0125036001001_001BREADBLAST050hours,465937EA_0125036001001_001,BREADBLAST05,BREADBLAST05,0,hours
465940EA_0125019001001BREADBLAST060hours,465940EA_0125019001001,BREADBLAST06,BREADBLAST06,0,hours
465941EA_0125019001001BREADBLAST060hours,465941EA_0125019001001,BREADBLAST06,BREADBLAST06,0,hours
465942EA_0125019001001_001BREADBLAST060hours,465942EA_0125019001001_001,BREADBLAST06,BREADBLAST06,0,hours
465943EA_0125019001001_001BREADBLAST060hours,465943EA_0125019001001_001,BREADBLAST06,BREADBLAST06,0,hours
465954EA_0125036001001BREADBLAST050hours,465954EA_0125036001001,BREADBLAST05,BREADBLAST05,0,hours
465955EA_0125036001001BREADBLAST050hours,465955EA_0125036001001,BREADBLAST05,BREADBLAST05,0,hours
