PrimaryKey,id,storageLocation,materialUse,quantity,quantityUnitOfMeasure
484618Actual-ProducedMaterialproduced550g,484618Actual-Produced,STG04,Material produced,550,g
484619Actual-ProducedMaterialproduced550g,484619Actual-Produced,STG04,Material produced,550,g
484620Actual-ProducedMaterialproduced490g,484620Actual-Produced,STG04,Material produced,490,g
484621Actual-ProducedMaterialproduced490g,484621Actual-Produced,STG04,Material produced,490,g
484656Actual-ProducedMaterialproduced790g,484656Actual-Produced,STG07,Material produced,790,g
484657Actual-ProducedMaterialproduced700g,484657Actual-Produced,STG07,Material produced,700,g
484658Actual-ProducedMaterialproduced280g,484658Actual-Produced,STG07,Material produced,280,g
484659Actual-ProducedMaterialproduced260g,484659Actual-Produced,STG07,Material produced,260,g
484563Actual-ProducedMaterialproduced557g,484563Actual-Produced,STG07,Material produced,557,g
484564Actual-ProducedMaterialproduced559g,484564Actual-Produced,STG07,Material produced,559,g
484565Actual-ProducedMaterialproduced190g,484565Actual-Produced,STG07,Material produced,190,g
484567Actual-ProducedMaterialproduced202g,484567Actual-Produced,STG07,Material produced,202,g
484572Actual-ProducedMaterialproduced723g,484572Actual-Produced,STG06,Material produced,723,g
484573Actual-ProducedMaterialproduced742g,484573Actual-Produced,STG06,Material produced,742,g
484607Actual-ProducedMaterialproduced732g,484607Actual-Produced,STG06,Material produced,732,g
484608Actual-ProducedMaterialproduced724g,484608Actual-Produced,STG06,Material produced,724,g
484609Actual-ProducedMaterialproduced382g,484609Actual-Produced,STG06,Material produced,382,g
484610Actual-ProducedMaterialproduced374g,484610Actual-Produced,STG06,Material produced,374,g
484574Actual-ProducedMaterialproduced380g,484574Actual-Produced,STG06,Material produced,380,g
484675Actual-ProducedMaterialproduced745g,484675Actual-Produced,STG04,Material produced,745,g
484676Actual-ProducedMaterialproduced745g,484676Actual-Produced,STG04,Material produced,745,g
484575Actual-ProducedMaterialproduced382g,484575Actual-Produced,STG06,Material produced,382,g
484628Actual-ProducedMaterialproduced470g,484628Actual-Produced,STG07,Material produced,470,g
484629Actual-ProducedMaterialproduced480g,484629Actual-Produced,STG07,Material produced,480,g
484630Actual-ProducedMaterialproduced170g,484630Actual-Produced,STG07,Material produced,170,g
484631Actual-ProducedMaterialproduced170g,484631Actual-Produced,STG07,Material produced,170,g
484634Actual-ProducedMaterialproduced1395g,484634Actual-Produced,STG05,Material produced,1395,g
484635Actual-ProducedMaterialproduced1456g,484635Actual-Produced,STG05,Material produced,1456,g
484645Actual-ProducedMaterialproduced765g,484645Actual-Produced,STG04,Material produced,765,g
465918Actual-ProducedMaterialproduced1250g,465918Actual-Produced,STG05,Material produced,1250,g
465919Actual-ProducedMaterialproduced1250g,465919Actual-Produced,STG05,Material produced,1250,g
465922Actual-ProducedMaterialproduced672g,465922Actual-Produced,STG07,Material produced,672,g
465923Actual-ProducedMaterialproduced659g,465923Actual-Produced,STG07,Material produced,659,g
465924Actual-ProducedMaterialproduced353g,465924Actual-Produced,STG07,Material produced,353,g
465925Actual-ProducedMaterialproduced350g,465925Actual-Produced,STG07,Material produced,350,g
465934Actual-ProducedMaterialproduced591g,465934Actual-Produced,STG05,Material produced,591,g
