PrimaryKey,id,status,quantity,quantityUnitOfMeasure
HYDM3140620,HYDM3140620,Approved,550,g
HYDM3140621,HYDM3140621,Approved,550,g
HYDM3140622,HYDM3140622,Approved,490,g
HYDM3140623,HYDM3140623,Approved,490,g
HYDQ3150600,HYDQ3150600,Approved,790,g
HYDQ3150601,HYDQ3150601,Approved,700,g
HYDQ3150602,HYDQ3150602,Approved,280,g
HYDQ3150603,HYDQ3150603,Approved,260,g
HYDQ3140614,HYDQ3140614,Approved,557,g
HYDQ3140615,HYDQ3140615,Approved,559,g
HYDQ3140616,HYDQ3140616,Approved,190,g
HYDQ3140617,HYDQ3140617,Approved,202,g
HYDL3140620,HYDL3140620,Approved,723,g
HYDL3140621,HYDL3140621,Approved,742,g
HYDL3140625,HYDL3140625,Approved,732,g
HYDL3140626,HYDL3140626,Approved,724,g
HYDL3140627,HYDL3140627,Approved,382,g
HYDL3140628,HYDL3140628,Approved,374,g
HYDL3140622,HYDL3140622,Approved,380,g
HYDM3150602,HYDM3150602,Approved,745,g
HYDM3150603,HYDM3150603,Approved,745,g
HYDL3140623,HYDL3140623,Approved,382,g
HYDQ3140618,HYDQ3140618,Approved,470,g
HYDQ3140619,HYDQ3140619,Approved,480,g
HYDQ3140620,HYDQ3140620,Approved,170,g
HYDQ3140621,HYDQ3140621,Approved,170,g
HYDK3140607,HYDK3140607,Approved,1395,g
HYDK3140608,HYDK3140608,Approved,1456,g
HYDM3150601,HYDM3150601,Approved,765,g
HYDK3160304,HYDK3160304,Approved,1250,g
HYDK3160305,HYDK3160305,Approved,1250,g
HYDQ3160300,HYDQ3160300,Approved,672,g
HYDQ3160301,HYDQ3160301,Approved,659,g
HYDQ3160302,HYDQ3160302,Approved,353,g
HYDQ3160303,HYDQ3160303,Approved,350,g
HYDK3160306,HYDK3160306,Approved,591,g
HYDK3160307,HYDK3160307,Approved,580,g
HYDK3160308,HYDK3160308,Approved,507,g
HYDK3160309,HYDK3160309,Approved,493,g
HYDL3160300,HYDL3160300,Approved,760,g
HYDL3160301,HYDL3160301,Approved,760,g
HYDL3160302,HYDL3160302,Approved,270,g
HYDL3160303,HYDL3160303,Approved,270,g
HYDK3160310,HYDK3160310,Approved,621,g
HYDK3160311,HYDK3160311,Approved,631,g
HYDK3160312,HYDK3160312,Approved,370,g
HYDK3160313,HYDK3160313,Approved,535,g
HYDK3160300,HYDK3160300,Approved,446,g
HYDK3160301,HYDK3160301,Approved,372,g
HYDK3160302,HYDK3160302,Approved,307,g
