PrimaryKey,id,description,value,valueUnitOfMeasure
14297913minutes,142979,Downtime in BREADBLAST04,13,minutes
1548815minutes,154881,Downtime in BREADBLAST04,5,minutes
15488321minutes,154883,Downtime in BREADBLAST05,21,minutes
15491015minutes,154910,Downtime in BREADBLAST06,15,minutes
1548785minutes,154878,Downtime in BREADBLAST04,5,minutes
15493032minutes,154930,Downtime in BREADBLAST06,32,minutes
15493123minutes,154931,Downtime in BREADBLAST06,23,minutes
15493222minutes,154932,Downtime in BREADBLAST06,22,minutes
15495623minutes,154956,Downtime in BREADBLAST06,23,minutes
15493321minutes,154933,Downtime in BREADBLAST06,21,minutes
15494874minutes,154948,Downtime in BREADBLAST06,74,minutes
15494961minutes,154949,Downtime in BREADBLAST06,61,minutes
15495224minutes,154952,Downtime in BREADBLAST06,24,minutes
1549571minutes,154957,Downtime in BREADBLAST06,1,minutes
15497128minutes,154971,Downtime in BREADBLAST04,28,minutes
15497335minutes,154973,Downtime in BREADBLAST06,35,minutes
1549744minutes,154974,Downtime in BREADBLAST04,4,minutes
15497615minutes,154976,Downtime in BREADBLAST07,15,minutes
15497921minutes,154979,Downtime in BREADBLAST05,21,minutes
15418722minutes,154187,Downtime in BREADBLAST04,22,minutes
15419015minutes,154190,Downtime in BREADBLAST04,15,minutes
15420714minutes,154207,Downtime in BREADBLAST05,14,minutes
15423422minutes,154234,Downtime in BREADBLAST04,22,minutes
1542363minutes,154236,Downtime in BREADBLAST04,3,minutes
15421427minutes,154214,Downtime in BREADBLAST04,27,minutes
15421717minutes,154217,Downtime in BREADBLAST04,17,minutes
1675544minutes,167554,Downtime in BREADBLAST04,4,minutes
16760629minutes,167606,Downtime in BREADBLAST05,29,minutes
16757923minutes,167579,Downtime in BREADBLAST04,23,minutes
1675812minutes,167581,Downtime in BREADBLAST04,2,minutes
1675823minutes,167582,Downtime in BREADBLAST04,3,minutes
16762525minutes,167625,Downtime in BREADBLAST06,25,minutes
16762710minutes,167627,Downtime in BREADBLAST06,10,minutes
16761616minutes,167616,Downtime in BREADBLAST04,16,minutes
1612803minutes,161280,Downtime in BREADBLAST07,3,minutes
16134023minutes,161340,Downtime in BREADBLAST04,23,minutes
16134223minutes,161342,Downtime in BREADBLAST04,23,minutes
1613203minutes,161320,Downtime in BREADBLAST07,3,minutes
16134311minutes,161343,Downtime in BREADBLAST04,11,minutes
16135565minutes,161355,Downtime in BREADBLAST07,65,minutes
16136923minutes,161369,Downtime in BREADBLAST05,23,minutes
161370183minutes,161370,Downtime in BREADBLAST04,183,minutes
16137220minutes,161372,Downtime in BREADBLAST05,20,minutes
1613744minutes,161374,Downtime in BREADBLAST05,4,minutes
16138214minutes,161382,Downtime in BREADBLAST05,14,minutes
1613893minutes,161389,Downtime in BREADBLAST05,3,minutes
143980136minutes,143980,Downtime in BREADBLAST06,136,minutes
143981720minutes,143981,Downtime in BREADBLAST06,720,minutes
143982720minutes,143982,Downtime in BREADBLAST06,720,minutes
143983720minutes,143983,Downtime in BREADBLAST06,720,minutes
143984720minutes,143984,Downtime in BREADBLAST06,720,minutes
143985720minutes,143985,Downtime in BREADBLAST06,720,minutes
143986720minutes,143986,Downtime in BREADBLAST06,720,minutes
143987720minutes,143987,Downtime in BREADBLAST06,720,minutes
143988720minutes,143988,Downtime in BREADBLAST06,720,minutes
143989720minutes,143989,Downtime in BREADBLAST06,720,minutes
143990720minutes,143990,Downtime in BREADBLAST06,720,minutes
143991720minutes,143991,Downtime in BREADBLAST06,720,minutes
143992720minutes,143992,Downtime in BREADBLAST06,720,minutes
143993720minutes,143993,Downtime in BREADBLAST06,720,minutes
143994720minutes,143994,Downtime in BREADBLAST06,720,minutes
143995266minutes,143995,Downtime in BREADBLAST06,266,minutes
14404420minutes,144044,Downtime in BREADBLAST05,20,minutes
1458915minutes,145891,Downtime in BREADBLAST05,5,minutes
14589428minutes,145894,Downtime in BREADBLAST05,28,minutes
14593426minutes,145934,Downtime in BREADBLAST07,26,minutes
1459435minutes,145943,Downtime in BREADBLAST06,5,minutes
1459503minutes,145950,Downtime in BREADBLAST05,3,minutes
14061522minutes,140615,Downtime in BREADBLAST05,22,minutes
14061627minutes,140616,Downtime in BREADBLAST05,27,minutes
140636120minutes,140636,Downtime in BREADBLAST07,120,minutes
14735332minutes,147353,Downtime in BREADBLAST05,32,minutes
1473721minutes,147372,Downtime in BREADBLAST06,1,minutes
14741723minutes,147417,Downtime in BREADBLAST06,23,minutes
14746823minutes,147468,Downtime in BREADBLAST05,23,minutes
1474694minutes,147469,Downtime in BREADBLAST05,4,minutes
154095720minutes,154095,Downtime in BREADBLAST06,720,minutes
1541426minutes,154142,Downtime in BREADBLAST04,6,minutes
15414722minutes,154147,Downtime in BREADBLAST04,22,minutes
15415222minutes,154152,Downtime in BREADBLAST04,22,minutes
15415419minutes,154154,Downtime in BREADBLAST04,19,minutes
15415822minutes,154158,Downtime in BREADBLAST04,22,minutes
15414922minutes,154149,Downtime in BREADBLAST04,22,minutes
1481565minutes,148156,Downtime in BREADBLAST04,5,minutes
1481583minutes,148158,Downtime in BREADBLAST04,3,minutes
1481607minutes,148160,Downtime in BREADBLAST04,7,minutes
14816440minutes,148164,Downtime in BREADBLAST04,40,minutes
14818118minutes,148181,Downtime in BREADBLAST04,18,minutes
14823321minutes,148233,Downtime in BREADBLAST04,21,minutes
1482346minutes,148234,Downtime in BREADBLAST04,6,minutes
14819622minutes,148196,Downtime in BREADBLAST04,22,minutes
1482628minutes,148262,Downtime in BREADBLAST04,8,minutes
14820421minutes,148204,Downtime in BREADBLAST04,21,minutes
14821016minutes,148210,Downtime in BREADBLAST04,16,minutes
14825756minutes,148257,Downtime in BREADBLAST04,56,minutes
14831424minutes,148314,Downtime in BREADBLAST04,24,minutes
14827522minutes,148275,Downtime in BREADBLAST04,22,minutes
1483075minutes,148307,Downtime in BREADBLAST04,5,minutes
141644175minutes,141644,Downtime in BREADBLAST04,175,minutes
1417453minutes,141745,Downtime in BREADBLAST06,3,minutes
1417494minutes,141749,Downtime in BREADBLAST06,4,minutes
14175225minutes,141752,Downtime in BREADBLAST06,25,minutes
141674720minutes,141674,Downtime in BREADBLAST06,720,minutes
141675720minutes,141675,Downtime in BREADBLAST06,720,minutes
141676720minutes,141676,Downtime in BREADBLAST06,720,minutes
141677720minutes,141677,Downtime in BREADBLAST06,720,minutes
141678720minutes,141678,Downtime in BREADBLAST06,720,minutes
141679720minutes,141679,Downtime in BREADBLAST06,720,minutes
141680720minutes,141680,Downtime in BREADBLAST06,720,minutes
141681720minutes,141681,Downtime in BREADBLAST06,720,minutes
141682720minutes,141682,Downtime in BREADBLAST06,720,minutes
141683720minutes,141683,Downtime in BREADBLAST06,720,minutes
141684720minutes,141684,Downtime in BREADBLAST06,720,minutes
141685720minutes,141685,Downtime in BREADBLAST06,720,minutes
141686720minutes,141686,Downtime in BREADBLAST06,720,minutes
141687720minutes,141687,Downtime in BREADBLAST06,720,minutes
141688720minutes,141688,Downtime in BREADBLAST06,720,minutes
141689720minutes,141689,Downtime in BREADBLAST06,720,minutes
141690720minutes,141690,Downtime in BREADBLAST06,720,minutes
141691720minutes,141691,Downtime in BREADBLAST06,720,minutes
141692720minutes,141692,Downtime in BREADBLAST06,720,minutes
141693720minutes,141693,Downtime in BREADBLAST06,720,minutes
141694720minutes,141694,Downtime in BREADBLAST06,720,minutes
141695720minutes,141695,Downtime in BREADBLAST06,720,minutes
141696720minutes,141696,Downtime in BREADBLAST06,720,minutes
141697720minutes,141697,Downtime in BREADBLAST06,720,minutes
141698720minutes,141698,Downtime in BREADBLAST06,720,minutes
141699720minutes,141699,Downtime in BREADBLAST06,720,minutes
141700720minutes,141700,Downtime in BREADBLAST06,720,minutes
141701720minutes,141701,Downtime in BREADBLAST06,720,minutes
141702720minutes,141702,Downtime in BREADBLAST06,720,minutes
141703720minutes,141703,Downtime in BREADBLAST06,720,minutes
141704720minutes,141704,Downtime in BREADBLAST06,720,minutes
141705192minutes,141705,Downtime in BREADBLAST06,192,minutes
14171129minutes,141711,Downtime in BREADBLAST06,29,minutes
14171513minutes,141715,Downtime in BREADBLAST06,13,minutes
14171825minutes,141718,Downtime in BREADBLAST06,25,minutes
1417213minutes,141721,Downtime in BREADBLAST06,3,minutes
14172629minutes,141726,Downtime in BREADBLAST06,29,minutes
14172913minutes,141729,Downtime in BREADBLAST06,13,minutes
1485114minutes,148511,Downtime in BREADBLAST04,4,minutes
14855330minutes,148553,Downtime in BREADBLAST04,30,minutes
1485545minutes,148554,Downtime in BREADBLAST04,5,minutes
1485702minutes,148570,Downtime in BREADBLAST05,2,minutes
14861017minutes,148610,Downtime in BREADBLAST04,17,minutes
14856418minutes,148564,Downtime in BREADBLAST04,18,minutes
14856922minutes,148569,Downtime in BREADBLAST05,22,minutes
1485902minutes,148590,Downtime in BREADBLAST04,2,minutes
14891321minutes,148913,Downtime in BREADBLAST04,21,minutes
14885119minutes,148851,Downtime in BREADBLAST04,19,minutes
1489203minutes,148920,Downtime in BREADBLAST04,3,minutes
1489214minutes,148921,Downtime in BREADBLAST04,4,minutes
14887117minutes,148871,Downtime in BREADBLAST04,17,minutes
14889328minutes,148893,Downtime in BREADBLAST05,28,minutes
1489472minutes,148947,Downtime in BREADBLAST04,2,minutes
16670119minutes,166701,Downtime in BREADBLAST06,19,minutes
1667202minutes,166720,Downtime in BREADBLAST05,2,minutes
15800025minutes,158000,Downtime in BREADBLAST07,25,minutes
1580066minutes,158006,Downtime in BREADBLAST07,6,minutes
15800313minutes,158003,Downtime in BREADBLAST06,13,minutes
15802918minutes,158029,Downtime in BREADBLAST05,18,minutes
15803216minutes,158032,Downtime in BREADBLAST07,16,minutes
1580353minutes,158035,Downtime in BREADBLAST07,3,minutes
15804521minutes,158045,Downtime in BREADBLAST07,21,minutes
15805117minutes,158051,Downtime in BREADBLAST07,17,minutes
15805739minutes,158057,Downtime in BREADBLAST07,39,minutes
15805945minutes,158059,Downtime in BREADBLAST07,45,minutes
158053720minutes,158053,Downtime in BREADBLAST04,720,minutes
1580602minutes,158060,Downtime in BREADBLAST07,2,minutes
15807110minutes,158071,Downtime in BREADBLAST06,10,minutes
14173232minutes,141732,Downtime in BREADBLAST06,32,minutes
1417354minutes,141735,Downtime in BREADBLAST06,4,minutes
14173813minutes,141738,Downtime in BREADBLAST06,13,minutes
14174021minutes,141740,Downtime in BREADBLAST06,21,minutes
1417422minutes,141742,Downtime in BREADBLAST06,2,minutes
1417545minutes,141754,Downtime in BREADBLAST06,5,minutes
1417576minutes,141757,Downtime in BREADBLAST06,6,minutes
1417614minutes,141761,Downtime in BREADBLAST06,4,minutes
1417635minutes,141763,Downtime in BREADBLAST06,5,minutes
1417665minutes,141766,Downtime in BREADBLAST06,5,minutes
1417692minutes,141769,Downtime in BREADBLAST06,2,minutes
14177228minutes,141772,Downtime in BREADBLAST06,28,minutes
142030720minutes,142030,Downtime in BREADBLAST04,720,minutes
142031720minutes,142031,Downtime in BREADBLAST04,720,minutes
142032720minutes,142032,Downtime in BREADBLAST04,720,minutes
142033720minutes,142033,Downtime in BREADBLAST04,720,minutes
142034720minutes,142034,Downtime in BREADBLAST04,720,minutes
142035720minutes,142035,Downtime in BREADBLAST04,720,minutes
142036720minutes,142036,Downtime in BREADBLAST04,720,minutes
142037720minutes,142037,Downtime in BREADBLAST04,720,minutes
142038720minutes,142038,Downtime in BREADBLAST04,720,minutes
142039720minutes,142039,Downtime in BREADBLAST04,720,minutes
142040720minutes,142040,Downtime in BREADBLAST04,720,minutes
142041720minutes,142041,Downtime in BREADBLAST04,720,minutes
142042720minutes,142042,Downtime in BREADBLAST04,720,minutes
142043720minutes,142043,Downtime in BREADBLAST04,720,minutes
142044720minutes,142044,Downtime in BREADBLAST04,720,minutes
142045720minutes,142045,Downtime in BREADBLAST04,720,minutes
142046720minutes,142046,Downtime in BREADBLAST04,720,minutes
142047720minutes,142047,Downtime in BREADBLAST04,720,minutes
142048720minutes,142048,Downtime in BREADBLAST04,720,minutes
