PrimaryKey,id,description,effectiveTimestamp,operationsType,enterpriseFunction,category
142979-BREADBLAST04,142979-BREADBLAST04,Oven Ventilation Check,2023-02-26T16:38:13,Maintenance,Maintenance management,Production Interruption
154881-BREADBLAST04,154881-BREADBLAST04,Oven Ventilation Check,2023-05-11T19:15:27,Maintenance,Maintenance management,Production Interruption
154883-BREADBLAST05,154883-BREADBLAST05,Oven Ventilation Check,2023-05-11T19:26:48,Maintenance,Maintenance management,Production Interruption
154910-BREADBLAST06,154910-BREADBLAST06,Oven Ventilation Check,2023-05-12T02:20:28,Maintenance,Maintenance management,Production Interruption
154878-BREADBLAST04,154878-BREADBLAST04,Oven Ventilation Check,2023-05-11T18:53:03,Maintenance,Maintenance management,Production Interruption
154930-BREADBLAST06,154930-BREADBLAST06,Air Pocket Defect,2023-05-12T09:08:17,Maintenance,Maintenance management,Production Interruption
154931-BREADBLAST06,154931-BREADBLAST06,Air Pocket Defect,2023-05-12T09:40:30,Maintenance,Maintenance management,Production Interruption
154932-BREADBLAST06,154932-BREADBLAST06,Air Pocket Defect,2023-05-12T10:03:51,Maintenance,Maintenance management,Production Interruption
154956-BREADBLAST06,154956-BREADBLAST06,Air Pocket Defect,2023-05-12T13:27:46,Maintenance,Maintenance management,Production Interruption
154933-BREADBLAST06,154933-BREADBLAST06,Air Pocket Defect,2023-05-12T10:25:49,Maintenance,Maintenance management,Production Interruption
154948-BREADBLAST06,154948-BREADBLAST06,Product/Size/Shape,2023-05-12T10:46:30,Maintenance,Maintenance management,Recipe Transition
154949-BREADBLAST06,154949-BREADBLAST06,Product/Size/Shape,2023-05-12T10:46:30,Maintenance,Maintenance management,Recipe Transition
154952-BREADBLAST06,154952-BREADBLAST06,Product/Size/Shape,2023-05-12T13:03:00,Maintenance,Maintenance management,Recipe Transition
154957-BREADBLAST06,154957-BREADBLAST06,Air Pocket Defect,2023-05-12T13:50:19,Maintenance,Maintenance management,Production Interruption
154971-BREADBLAST04,154971-BREADBLAST04,Air Pocket Defect,2023-05-12T16:01:32,Maintenance,Maintenance management,Production Interruption
154973-BREADBLAST06,154973-BREADBLAST06,Emergency Stop,2023-05-12T15:55:00,Maintenance,Maintenance management,Machine Malfunction
154974-BREADBLAST04,154974-BREADBLAST04,Air Pocket Defect,2023-05-12T16:29:07,Maintenance,Maintenance management,Production Interruption
154976-BREADBLAST07,154976-BREADBLAST07,Air Pocket Defect,2023-05-12T16:00:00,Maintenance,Maintenance management,Production Interruption
154979-BREADBLAST05,154979-BREADBLAST05,Oven Ventilation Check,2023-05-12T16:39:28,Maintenance,Maintenance management,Production Interruption
154187-BREADBLAST04,154187-BREADBLAST04,Air Pocket Defect,2023-05-07T13:58:17,Maintenance,Maintenance management,Production Interruption
154190-BREADBLAST04,154190-BREADBLAST04,Air Pocket Defect,2023-05-07T14:20:41,Maintenance,Maintenance management,Production Interruption
154207-BREADBLAST05,154207-BREADBLAST05,Oven Ventilation Check,2023-05-07T17:16:16,Maintenance,Maintenance management,Production Interruption
154234-BREADBLAST04,154234-BREADBLAST04,Air Pocket Defect,2023-05-07T20:45:47,Maintenance,Maintenance management,Production Interruption
154236-BREADBLAST04,154236-BREADBLAST04,Air Pocket Defect,2023-05-07T21:07:32,Maintenance,Maintenance management,Production Interruption
