Source type,Source PrimaryKey,Target Type,Target PrimaryKey,Relationship Type
Equipment requirement,ER_0125074001001BREADBLAST052000hours,Equipment,BREADBLAST05,correspondsToEquipment
Equipment requirement,ER_0124789001001BREADBLAST074500hours,Equipment,BREADBLAST07,correspondsToEquipment
Equipment requirement,ER_0124874001001BREADBLAST075625hours,Equipment,BREADBLAST07,correspondsToEquipment
Equipment requirement,ER_0125264001001BREADBLAST0520000.01hours,Equipment,BREADBLAST05,correspondsToEquipment
Equipment requirement,ER_0125264001001_001BREADBLAST059999.99hours,Equipment,BREADBLAST05,correspondsToEquipment
Equipment requirement,ER_0124393001001BREADBLAST0410000hours,Equipment,BREADBLAST04,correspondsToEquipment
Equipment requirement,ER_0125309001001BREADBLAST0628000hours,Equipment,BREADBLAST06,correspondsToEquipment
Equipment requirement,ER_0125346001001BREADBLAST073499.998hours,Equipment,BREADBLAST07,correspondsToEquipment
Equipment requirement,ER_0125346001001_001BREADBLAST072500.002hours,Equipment,BREADBLAST07,correspondsToEquipment
Equipment requirement,ER_0125269001001BREADBLAST0410000hours,Equipment,BREADBLAST04,correspondsToEquipment
Equipment requirement,ER_0125459001001BREADBLAST0510000hours,Equipment,BREADBLAST05,correspondsToEquipment
Equipment requirement,ER_0125263001001BREADBLAST0540000hours,Equipment,BREADBLAST05,correspondsToEquipment
Equipment requirement,ER_0125304001001BREADBLAST0410000hours,Equipment,BREADBLAST04,correspondsToEquipment
Equipment requirement,ER_0125541001001BREADBLAST0416000hours,Equipment,BREADBLAST04,correspondsToEquipment
Equipment requirement,ER_0125365001001BREADBLAST058000hours,Equipment,BREADBLAST05,correspondsToEquipment
Equipment requirement,ER_0125539001001BREADBLAST0610000hours,Equipment,BREADBLAST06,correspondsToEquipment
Equipment requirement,ER_0125623001001BREADBLAST0440000hours,Equipment,BREADBLAST04,correspondsToEquipment
Equipment requirement,ER_0125142001001BREADBLAST0612000hours,Equipment,BREADBLAST06,correspondsToEquipment
Equipment requirement,ER_0124631001001BREADBLAST075666.664hours,Equipment,BREADBLAST07,correspondsToEquipment
Equipment requirement,ER_0124721001001BREADBLAST046000hours,Equipment,BREADBLAST04,correspondsToEquipment
Equipment requirement,ER_0124706001001BREADBLAST062168hours,Equipment,BREADBLAST06,correspondsToEquipment
Equipment requirement,ER_0124773001001BREADBLAST0410000hours,Equipment,BREADBLAST04,correspondsToEquipment
