Source type,Source PrimaryKey,Target Type,Target PrimaryKey,Relationship Type
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.27Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.27Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.96Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.96Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.95Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.95Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.88Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.88Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.87Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.87Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.94Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.94Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature215Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature215Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature215.01Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature215.01Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.92Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.92Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.9Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.9Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature215.04Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature215.04Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.91Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.91Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.93Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.93Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.86Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.86Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.8Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.8Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.82Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.82Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.78Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.78Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.83Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.83Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.81Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.81Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.84Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.84Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.69Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.69Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.72Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.72Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.79Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.79Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.85Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.85Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.76Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.76Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.77Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.77Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature215.05Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature215.05Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature215.02Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature215.02Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature215.03Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature215.03Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.73Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.73Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.89Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.89Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.75Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.75Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.7Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.7Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.74Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.74Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.68Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.68Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.67Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.67Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.61Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.61Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.62Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.62Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.52Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.52Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.45Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.45Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.54Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.54Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.47Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.47Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.5Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.5Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.59Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.59Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.55Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.55Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.57Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.57Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.64Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.64Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.71Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.71Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.63Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.63Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.43Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.43Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.49Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.49Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.39Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.39Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.48Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.48Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.6Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.6Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.58Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.58Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.53Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.53Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.44Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.44Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.56Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.56Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.65Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.65Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.46Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.46Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.51Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.51Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.38Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.38Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.15Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.15Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.06Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.06Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.21Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.21Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.19Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.19Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.13Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.13Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.1Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.1Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.01Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.01Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature213.95Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature213.95Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature214.03Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature214.03Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature213.98Celsius,hasValuesOf
Equipment,BREADBLAST04,Equipment Property,BREADBLAST04_Temperature213.98Celsius,hasValuesOf
Equipment,HYD,Equipment Property,BREADBLAST04_Temperature213.89Celsius,hasValuesOf
