Source type,Source PrimaryKey,Target Type,Target PrimaryKey,Relationship Type
Material requirement,7089184ConsumedMaterialconsumed7467.6g,Material Definition,PITXMPL480G46,correspondsToDefinition
Material requirement,6681367ProducedMaterialproduced3200.4g,Material Definition,PITXMPL480G46,correspondsToDefinition
Material requirement,6681367ConsumedMaterialconsumed3200.4g,Material Definition,PITXMPL480G46,correspondsToDefinition
Material requirement,7089184ProducedMaterialproduced7467.6g,Material Definition,PITXMPL480G46,correspondsToDefinition
Material requirement,6834774ProducedMaterialproduced3500g,Material Definition,PITXMPL420G46,correspondsToDefinition
Material requirement,6834774ConsumedMaterialconsumed3500g,Material Definition,PITXMPL420G46,correspondsToDefinition
Material requirement,7089683ConsumedMaterialconsumed7500g,Material Definition,PITXMPL720G46,correspondsToDefinition
Material requirement,6714079ProducedMaterialproduced4500g,Material Definition,PITXMPL720G46,correspondsToDefinition
Material requirement,6623681ConsumedMaterialconsumed4500g,Material Definition,PITXMPL720G46,correspondsToDefinition
Material requirement,6623681ProducedMaterialproduced4500g,Material Definition,PITXMPL720G46,correspondsToDefinition
Material requirement,6714079ConsumedMaterialconsumed4500g,Material Definition,PITXMPL720G46,correspondsToDefinition
Material requirement,7089683ProducedMaterialproduced7500g,Material Definition,PITXMPL720G46,correspondsToDefinition
Material requirement,6830608ProducedMaterialproduced18000g,Material Definition,PITXMPL720G46,correspondsToDefinition
Material requirement,6830608ConsumedMaterialconsumed18000g,Material Definition,PITXMPL720G46,correspondsToDefinition
Material requirement,6830609ConsumedMaterialconsumed6000g,Material Definition,PITXMPL240G46,correspondsToDefinition
Material requirement,6830609ProducedMaterialproduced6000g,Material Definition,PITXMPL240G46,correspondsToDefinition
Material requirement,6804856ProducedMaterialproduced5333.336g,Material Definition,PITXMPL640G35,correspondsToDefinition
Material requirement,7089087ProducedMaterialproduced4000.002g,Material Definition,PITXMPL640G35,correspondsToDefinition
Material requirement,7034404ProducedMaterialproduced12000.006g,Material Definition,PITXMPL640G35,correspondsToDefinition
Material requirement,6934896ConsumedMaterialconsumed5333.336g,Material Definition,PITXMPL640G35,correspondsToDefinition
Material requirement,6832166ConsumedMaterialconsumed2666.668g,Material Definition,PITXMPL640G35,correspondsToDefinition
Material requirement,6804856ConsumedMaterialconsumed5333.336g,Material Definition,PITXMPL640G35,correspondsToDefinition
Material requirement,7171431ProducedMaterialproduced4000.002g,Material Definition,PITXMPL640G35,correspondsToDefinition
Material requirement,7171431ConsumedMaterialconsumed4000.002g,Material Definition,PITXMPL640G35,correspondsToDefinition
Material requirement,6934896ProducedMaterialproduced5333.336g,Material Definition,PITXMPL640G35,correspondsToDefinition
Material requirement,7089087ConsumedMaterialconsumed4000.002g,Material Definition,PITXMPL640G35,correspondsToDefinition
Material requirement,7034404ConsumedMaterialconsumed12000.006g,Material Definition,PITXMPL640G35,correspondsToDefinition
Material requirement,6832166ProducedMaterialproduced2666.668g,Material Definition,PITXMPL640G35,correspondsToDefinition
Material requirement,6804857ConsumedMaterialconsumed2666.664g,Material Definition,PITXMPL320G35,correspondsToDefinition
Material requirement,6832167ConsumedMaterialconsumed1333.332g,Material Definition,PITXMPL320G35,correspondsToDefinition
Material requirement,6832167ProducedMaterialproduced1333.332g,Material Definition,PITXMPL320G35,correspondsToDefinition
Material requirement,6804857ProducedMaterialproduced2666.664g,Material Definition,PITXMPL320G35,correspondsToDefinition
Material requirement,7192793ProducedMaterialproduced6000g,Material Definition,PITXMPL760G46,correspondsToDefinition
Material requirement,7092808ConsumedMaterialconsumed8000g,Material Definition,PITXMPL760G46,correspondsToDefinition
Material requirement,7192793ConsumedMaterialconsumed6000g,Material Definition,PITXMPL760G46,correspondsToDefinition
Material requirement,7092808ProducedMaterialproduced8000g,Material Definition,PITXMPL760G46,correspondsToDefinition
Material requirement,6761174ProducedMaterialproduced20000g,Material Definition,PITXMPL960G43,correspondsToDefinition
Material requirement,7183721ConsumedMaterialconsumed20000g,Material Definition,PITXMPL960G43,correspondsToDefinition
Material requirement,6715848ConsumedMaterialconsumed2000g,Material Definition,PITXMPL960G43,correspondsToDefinition
Material requirement,6859833ProducedMaterialproduced10000g,Material Definition,PITXMPL960G43,correspondsToDefinition
Material requirement,6777392ProducedMaterialproduced10000g,Material Definition,PITXMPL960G43,correspondsToDefinition
