Source type,Source PrimaryKey,Target Type,Target PrimaryKey,Relationship Type
Material Actual,484618Actual-ProducedMaterialproduced550g,Material Definition,PITXMPL480G46,correspondsToDefinition
Material Actual,484619Actual-ProducedMaterialproduced550g,Material Definition,PITXMPL480G46,correspondsToDefinition
Material Actual,484620Actual-ProducedMaterialproduced490g,Material Definition,PITXMPL420G46,correspondsToDefinition
Material Actual,29527Actual-ScrapMaterialconsumed222.0000000000g,Material Definition,PITXMPL420G46,correspondsToDefinition
Material Actual,29527Actual-ScrapInventoried222.0000000000g,Material Definition,PITXMPL420G46,correspondsToDefinition
Material Actual,484621Actual-ProducedMaterialproduced490g,Material Definition,PITXMPL420G46,correspondsToDefinition
Material Actual,484656Actual-ProducedMaterialproduced790g,Material Definition,PITXMPL720G46,correspondsToDefinition
Material Actual,29397Actual-ScrapMaterialconsumed872.0000000000g,Material Definition,PITXMPL720G46,correspondsToDefinition
Material Actual,29401Actual-ScrapInventoried584.0000000000g,Material Definition,PITXMPL720G46,correspondsToDefinition
Material Actual,29397Actual-ScrapInventoried872.0000000000g,Material Definition,PITXMPL720G46,correspondsToDefinition
Material Actual,29401Actual-ScrapMaterialconsumed584.0000000000g,Material Definition,PITXMPL720G46,correspondsToDefinition
Material Actual,484657Actual-ProducedMaterialproduced700g,Material Definition,PITXMPL720G46,correspondsToDefinition
Material Actual,484658Actual-ProducedMaterialproduced280g,Material Definition,PITXMPL240G46,correspondsToDefinition
Material Actual,484659Actual-ProducedMaterialproduced260g,Material Definition,PITXMPL240G46,correspondsToDefinition
Material Actual,484563Actual-ProducedMaterialproduced557g,Material Definition,PITXMPL720G46,correspondsToDefinition
Material Actual,484564Actual-ProducedMaterialproduced559g,Material Definition,PITXMPL720G46,correspondsToDefinition
Material Actual,484565Actual-ProducedMaterialproduced190g,Material Definition,PITXMPL240G46,correspondsToDefinition
Material Actual,484567Actual-ProducedMaterialproduced202g,Material Definition,PITXMPL240G46,correspondsToDefinition
Material Actual,484572Actual-ProducedMaterialproduced723g,Material Definition,PITXMPL640G35,correspondsToDefinition
Material Actual,29840Actual-ScrapInventoried219.0000000000g,Material Definition,PITXMPL640G35,correspondsToDefinition
Material Actual,29840Actual-ScrapMaterialconsumed219.0000000000g,Material Definition,PITXMPL640G35,correspondsToDefinition
Material Actual,29741Actual-ScrapMaterialconsumed2196.0000000000g,Material Definition,PITXMPL640G35,correspondsToDefinition
Material Actual,29741Actual-ScrapInventoried2196.0000000000g,Material Definition,PITXMPL640G35,correspondsToDefinition
Material Actual,484573Actual-ProducedMaterialproduced742g,Material Definition,PITXMPL640G35,correspondsToDefinition
Material Actual,484607Actual-ProducedMaterialproduced732g,Material Definition,PITXMPL640G35,correspondsToDefinition
Material Actual,484608Actual-ProducedMaterialproduced724g,Material Definition,PITXMPL640G35,correspondsToDefinition
Material Actual,484609Actual-ProducedMaterialproduced382g,Material Definition,PITXMPL320G35,correspondsToDefinition
Material Actual,484610Actual-ProducedMaterialproduced374g,Material Definition,PITXMPL320G35,correspondsToDefinition
Material Actual,484574Actual-ProducedMaterialproduced380g,Material Definition,PITXMPL320G35,correspondsToDefinition
Material Actual,484675Actual-ProducedMaterialproduced745g,Material Definition,PITXMPL760G46,correspondsToDefinition
Material Actual,29849Actual-ScrapMaterialconsumed756.0000000000g,Material Definition,PITXMPL760G46,correspondsToDefinition
Material Actual,29849Actual-ScrapInventoried756.0000000000g,Material Definition,PITXMPL760G46,correspondsToDefinition
Material Actual,30025Actual-ScrapInventoried1015.0000000000g,Material Definition,PITXMPL760G46,correspondsToDefinition
Material Actual,30025Actual-ScrapMaterialconsumed1015.0000000000g,Material Definition,PITXMPL760G46,correspondsToDefinition
Material Actual,484676Actual-ProducedMaterialproduced745g,Material Definition,PITXMPL760G46,correspondsToDefinition
Material Actual,484575Actual-ProducedMaterialproduced382g,Material Definition,PITXMPL320G35,correspondsToDefinition
Material Actual,484628Actual-ProducedMaterialproduced470g,Material Definition,PITXMPL720G46,correspondsToDefinition
Material Actual,484629Actual-ProducedMaterialproduced480g,Material Definition,PITXMPL720G46,correspondsToDefinition
Material Actual,484630Actual-ProducedMaterialproduced170g,Material Definition,PITXMPL240G46,correspondsToDefinition
Material Actual,484631Actual-ProducedMaterialproduced170g,Material Definition,PITXMPL240G46,correspondsToDefinition
Material Actual,484634Actual-ProducedMaterialproduced1395g,Material Definition,PITXMPL960G43,correspondsToDefinition
Material Actual,29339Actual-ScrapInventoried1480.0000000000g,Material Definition,PITXMPL960G43,correspondsToDefinition
