Source type,Source PrimaryKey,Target Type,Target PrimaryKey,Relationship Type
Operations event,142979-BREADBLAST04,Operations event property,14297913minutes,hasValuesOf
Operations event,154881-BREADBLAST04,Operations event property,1548815minutes,hasValuesOf
Operations event,154883-BREADBLAST05,Operations event property,15488321minutes,hasValuesOf
Operations event,154910-BREADBLAST06,Operations event property,15491015minutes,hasValuesOf
Operations event,154878-BREADBLAST04,Operations event property,1548785minutes,hasValuesOf
Operations event,154930-BREADBLAST06,Operations event property,15493032minutes,hasValuesOf
Operations event,154931-BREADBLAST06,Operations event property,15493123minutes,hasValuesOf
Operations event,154932-BREADBLAST06,Operations event property,15493222minutes,hasValuesOf
Operations event,154956-BREADBLAST06,Operations event property,15495623minutes,hasValuesOf
Operations event,154933-BREADBLAST06,Operations event property,15493321minutes,hasValuesOf
Operations event,154948-BREADBLAST06,Operations event property,15494874minutes,hasValuesOf
Operations event,154949-BREADBLAST06,Operations event property,15494961minutes,hasValuesOf
Operations event,154952-BREADBLAST06,Operations event property,15495224minutes,hasValuesOf
Operations event,154957-BREADBLAST06,Operations event property,1549571minutes,hasValuesOf
Operations event,154971-BREADBLAST04,Operations event property,15497128minutes,hasValuesOf
Operations event,154973-BREADBLAST06,Operations event property,15497335minutes,hasValuesOf
Operations event,154974-BREADBLAST04,Operations event property,1549744minutes,hasValuesOf
Operations event,154976-BREADBLAST07,Operations event property,15497615minutes,hasValuesOf
Operations event,154979-BREADBLAST05,Operations event property,15497921minutes,hasValuesOf
Operations event,154187-BREADBLAST04,Operations event property,15418722minutes,hasValuesOf
Operations event,154190-BREADBLAST04,Operations event property,15419015minutes,hasValuesOf
Operations event,154207-BREADBLAST05,Operations event property,15420714minutes,hasValuesOf
Operations event,154234-BREADBLAST04,Operations event property,15423422minutes,hasValuesOf
Operations event,154236-BREADBLAST04,Operations event property,1542363minutes,hasValuesOf
Operations event,154214-BREADBLAST04,Operations event property,15421427minutes,hasValuesOf
Operations event,154217-BREADBLAST04,Operations event property,15421717minutes,hasValuesOf
Operations event,167554-BREADBLAST04,Operations event property,1675544minutes,hasValuesOf
Operations event,167606-BREADBLAST05,Operations event property,16760629minutes,hasValuesOf
Operations event,167579-BREADBLAST04,Operations event property,16757923minutes,hasValuesOf
Operations event,167581-BREADBLAST04,Operations event property,1675812minutes,hasValuesOf
Operations event,167582-BREADBLAST04,Operations event property,1675823minutes,hasValuesOf
Operations event,167625-BREADBLAST06,Operations event property,16762525minutes,hasValuesOf
Operations event,167627-BREADBLAST06,Operations event property,16762710minutes,hasValuesOf
Operations event,167616-BREADBLAST04,Operations event property,16761616minutes,hasValuesOf
Operations event,161280-BREADBLAST07,Operations event property,1612803minutes,hasValuesOf
Operations event,161340-BREADBLAST04,Operations event property,16134023minutes,hasValuesOf
Operations event,161342-BREADBLAST04,Operations event property,16134223minutes,hasValuesOf
Operations event,161320-BREADBLAST07,Operations event property,1613203minutes,hasValuesOf
Operations event,161343-BREADBLAST04,Operations event property,16134311minutes,hasValuesOf
Operations event,161355-BREADBLAST07,Operations event property,16135565minutes,hasValuesOf
Operations event,161369-BREADBLAST05,Operations event property,16136923minutes,hasValuesOf
Operations event,161370-BREADBLAST04,Operations event property,161370183minutes,hasValuesOf
Operations event,161372-BREADBLAST05,Operations event property,16137220minutes,hasValuesOf
Operations event,161374-BREADBLAST05,Operations event property,1613744minutes,hasValuesOf
Operations event,161382-BREADBLAST05,Operations event property,16138214minutes,hasValuesOf
Operations event,161389-BREADBLAST05,Operations event property,1613893minutes,hasValuesOf
Operations event,143980-BREADBLAST06,Operations event property,143980136minutes,hasValuesOf
Operations event,143981-BREADBLAST06,Operations event property,143981720minutes,hasValuesOf
Operations event,143982-BREADBLAST06,Operations event property,143982720minutes,hasValuesOf
Operations event,143983-BREADBLAST06,Operations event property,143983720minutes,hasValuesOf
