Source type,Source PrimaryKey,Target Type,Target PrimaryKey,Relationship Type
Segment Requirement,SR_0125074001001,Equipment requirement,ER_0125074001001BREADBLAST052000hours,containsEquipment
Segment Requirement,SR_0124789001001,Equipment requirement,ER_0124789001001BREADBLAST074500hours,containsEquipment
Segment Requirement,SR_0124874001001,Equipment requirement,ER_0124874001001BREADBLAST075625hours,containsEquipment
Segment Requirement,SR_0125264001001,Equipment requirement,ER_0125264001001BREADBLAST0520000.01hours,containsEquipment
Segment Requirement,SR_0125264001001_001,Equipment requirement,ER_0125264001001_001BREADBLAST059999.99hours,containsEquipment
Segment Requirement,SR_0124393001001,Equipment requirement,ER_0124393001001BREADBLAST0410000hours,containsEquipment
Segment Requirement,SR_0125309001001,Equipment requirement,ER_0125309001001BREADBLAST0628000hours,containsEquipment
Segment Requirement,SR_0125346001001,Equipment requirement,ER_0125346001001BREADBLAST073499.998hours,containsEquipment
Segment Requirement,SR_0125346001001_001,Equipment requirement,ER_0125346001001_001BREADBLAST072500.002hours,containsEquipment
Segment Requirement,SR_0125269001001,Equipment requirement,ER_0125269001001BREADBLAST0410000hours,containsEquipment
Segment Requirement,SR_0125459001001,Equipment requirement,ER_0125459001001BREADBLAST0510000hours,containsEquipment
Segment Requirement,SR_0125263001001,Equipment requirement,ER_0125263001001BREADBLAST0540000hours,containsEquipment
Segment Requirement,SR_0125304001001,Equipment requirement,ER_0125304001001BREADBLAST0410000hours,containsEquipment
Segment Requirement,SR_0125541001001,Equipment requirement,ER_0125541001001BREADBLAST0416000hours,containsEquipment
Segment Requirement,SR_0125365001001,Equipment requirement,ER_0125365001001BREADBLAST058000hours,containsEquipment
Segment Requirement,SR_0125539001001,Equipment requirement,ER_0125539001001BREADBLAST0610000hours,containsEquipment
Segment Requirement,SR_0125623001001,Equipment requirement,ER_0125623001001BREADBLAST0440000hours,containsEquipment
Segment Requirement,SR_0125142001001,Equipment requirement,ER_0125142001001BREADBLAST0612000hours,containsEquipment
Segment Requirement,SR_0124631001001,Equipment requirement,ER_0124631001001BREADBLAST075666.664hours,containsEquipment
Segment Requirement,SR_0124721001001,Equipment requirement,ER_0124721001001BREADBLAST046000hours,containsEquipment
Segment Requirement,SR_0124706001001,Equipment requirement,ER_0124706001001BREADBLAST062168hours,containsEquipment
Segment Requirement,SR_0124773001001,Equipment requirement,ER_0124773001001BREADBLAST0410000hours,containsEquipment
Segment Requirement,SR_0123672001001,Equipment requirement,ER_0123672001001BREADBLAST0710000hours,containsEquipment
Segment Requirement,SR_0124633001001,Equipment requirement,ER_0124633001001BREADBLAST075000hours,containsEquipment
Segment Requirement,SR_0124707001001,Equipment requirement,ER_0124707001001BREADBLAST078000hours,containsEquipment
Segment Requirement,SR_0124447001001,Equipment requirement,ER_0124447001001BREADBLAST0520625hours,containsEquipment
Segment Requirement,SR_0124319001001,Equipment requirement,ER_0124319001001BREADBLAST054500hours,containsEquipment
Segment Requirement,SR_0125155001001,Equipment requirement,ER_0125155001001BREADBLAST073499.8hours,containsEquipment
Segment Requirement,SR_0125155001001_001,Equipment requirement,ER_0125155001001_001BREADBLAST072500.2hours,containsEquipment
Segment Requirement,SR_0125018001001,Equipment requirement,ER_0125018001001BREADBLAST0610000hours,containsEquipment
Segment Requirement,SR_0124452001001,Equipment requirement,ER_0124452001001BREADBLAST044000hours,containsEquipment
