Source type,Source PrimaryKey,Target Type,Target PrimaryKey,Relationship Type
Segment Requirement,SR_0125074001001,Material requirement,6754520ProducedMaterialproduced2000g,containsMaterial
Segment Requirement,SR_0124789001001,Material requirement,6714079ProducedMaterialproduced4500g,containsMaterial
Segment Requirement,SR_0124874001001,Material requirement,6727022ProducedMaterialproduced5625g,containsMaterial
Segment Requirement,SR_0125264001001,Material requirement,6818712ProducedMaterialproduced20000.01g,containsMaterial
Segment Requirement,SR_0125264001001_001,Material requirement,6818713ProducedMaterialproduced9999.99g,containsMaterial
Segment Requirement,SR_0124393001001,Material requirement,6610280ProducedMaterialproduced10000g,containsMaterial
Segment Requirement,SR_0125309001001,Material requirement,6863083ProducedMaterialproduced28000g,containsMaterial
Segment Requirement,SR_0125346001001,Material requirement,6814992ProducedMaterialproduced3499.998g,containsMaterial
Segment Requirement,SR_0125346001001_001,Material requirement,6814993ProducedMaterialproduced2500.002g,containsMaterial
Segment Requirement,SR_0125269001001,Material requirement,6808396ProducedMaterialproduced10000g,containsMaterial
Segment Requirement,SR_0125459001001,Material requirement,6859833ProducedMaterialproduced10000g,containsMaterial
Segment Requirement,SR_0125263001001,Material requirement,6802194ProducedMaterialproduced40000g,containsMaterial
Segment Requirement,SR_0125304001001,Material requirement,6819237ProducedMaterialproduced10000g,containsMaterial
Segment Requirement,SR_0125541001001,Material requirement,7019441ProducedMaterialproduced16000g,containsMaterial
Segment Requirement,SR_0125365001001,Material requirement,6863420ProducedMaterialproduced8000g,containsMaterial
Segment Requirement,SR_0125539001001,Material requirement,6848154ProducedMaterialproduced10000g,containsMaterial
Segment Requirement,SR_0125623001001,Material requirement,6929124ProducedMaterialproduced40000g,containsMaterial
Segment Requirement,SR_0125142001001,Material requirement,6774844ProducedMaterialproduced12000g,containsMaterial
Segment Requirement,SR_0124631001001,Material requirement,6687638ProducedMaterialproduced5666.664g,containsMaterial
Segment Requirement,SR_0124721001001,Material requirement,6691920ProducedMaterialproduced6000g,containsMaterial
Segment Requirement,SR_0124706001001,Material requirement,6679696ProducedMaterialproduced2168g,containsMaterial
Segment Requirement,SR_0124773001001,Material requirement,6693528ProducedMaterialproduced10000g,containsMaterial
Segment Requirement,SR_0123672001001,Material requirement,6682984ProducedMaterialproduced10000g,containsMaterial
Segment Requirement,SR_0124633001001,Material requirement,6662876ProducedMaterialproduced5000g,containsMaterial
Segment Requirement,SR_0124707001001,Material requirement,6677379ProducedMaterialproduced8000g,containsMaterial
Segment Requirement,SR_0124447001001,Material requirement,6638952ProducedMaterialproduced20625g,containsMaterial
Segment Requirement,SR_0124319001001,Material requirement,6623681ProducedMaterialproduced4500g,containsMaterial
Segment Requirement,SR_0125155001001,Material requirement,6896731ProducedMaterialproduced3499.8g,containsMaterial
Segment Requirement,SR_0125155001001_001,Material requirement,6896732ProducedMaterialproduced2500.2g,containsMaterial
Segment Requirement,SR_0125018001001,Material requirement,6766539ProducedMaterialproduced10000g,containsMaterial
Segment Requirement,SR_0124452001001,Material requirement,6621336ProducedMaterialproduced4000g,containsMaterial
Segment Requirement,SR_0127469001001,Material requirement,7263612ProducedMaterialproduced20000g,containsMaterial
Segment Requirement,SR_0127308001001,Material requirement,7264633ProducedMaterialproduced38000g,containsMaterial
Segment Requirement,SR_0127242001001,Material requirement,7246876ProducedMaterialproduced4336g,containsMaterial
Segment Requirement,SR_0126394001001,Material requirement,7048798ProducedMaterialproduced4664g,containsMaterial
Segment Requirement,SR_0126800001001,Material requirement,7142979ProducedMaterialproduced5833.33g,containsMaterial
Segment Requirement,SR_0126445001001,Material requirement,7050513ProducedMaterialproduced4500g,containsMaterial
Segment Requirement,SR_0125108001001,Material requirement,6762932ProducedMaterialproduced7083.33g,containsMaterial
Segment Requirement,SR_0125108001001_001,Material requirement,6762933ProducedMaterialproduced2916.67g,containsMaterial
Segment Requirement,SR_0124710001001,Material requirement,6748736ProducedMaterialproduced12000g,containsMaterial
Segment Requirement,SR_0125494001001,Material requirement,6953239ProducedMaterialproduced30000g,containsMaterial
Segment Requirement,SR_0125345001001,Material requirement,6820964ProducedMaterialproduced3625.002g,containsMaterial
Segment Requirement,SR_0125345001001_001,Material requirement,6820965ProducedMaterialproduced2374.998g,containsMaterial
Segment Requirement,SR_0124870001001,Material requirement,6730180ProducedMaterialproduced8166.662g,containsMaterial
Segment Requirement,SR_0124451001001,Material requirement,6666717ProducedMaterialproduced6250g,containsMaterial
Segment Requirement,SR_0124671001001,Material requirement,6678713ProducedMaterialproduced4664g,containsMaterial
Segment Requirement,SR_0125077001001,Material requirement,6760178ProducedMaterialproduced2500g,containsMaterial
Segment Requirement,SR_0125121001001_001,Material requirement,6762615ProducedMaterialproduced1000g,containsMaterial
Segment Requirement,SR_0124704001001,Material requirement,6711997ProducedMaterialproduced11250g,containsMaterial
Segment Requirement,SR_0124834001001,Material requirement,6723937ProducedMaterialproduced30000g,containsMaterial
Segment Requirement,SR_0125153001001,Material requirement,6891455ProducedMaterialproduced5666.664g,containsMaterial
Segment Requirement,SR_0125153001001_001,Material requirement,6891456ProducedMaterialproduced2333.336g,containsMaterial
Segment Requirement,SR_0125465001001,Material requirement,6835037ProducedMaterialproduced4248g,containsMaterial
Segment Requirement,SR_0125465001001_001,Material requirement,6835038ProducedMaterialproduced1752g,containsMaterial
Segment Requirement,SR_0124670001001,Material requirement,6691219ProducedMaterialproduced5600g,containsMaterial
Segment Requirement,SR_0124405001001,Material requirement,6653074ProducedMaterialproduced2755.6g,containsMaterial
Segment Requirement,SR_0125368001001,Material requirement,6810069ProducedMaterialproduced10000g,containsMaterial
Segment Requirement,SR_0125368001001_001,Material requirement,6810070ProducedMaterialproduced6000g,containsMaterial
Segment Requirement,SR_0124496001001,Material requirement,6645050ProducedMaterialproduced10000g,containsMaterial
Segment Requirement,SR_0124703001001,Material requirement,6702287ProducedMaterialproduced22400g,containsMaterial
Segment Requirement,SR_0125120001001,Material requirement,6759367ProducedMaterialproduced2000g,containsMaterial
Segment Requirement,SR_0125021001001,Material requirement,6771831ProducedMaterialproduced7083.33g,containsMaterial
Segment Requirement,SR_0126994001001,Material requirement,7177760ProducedMaterialproduced5420g,containsMaterial
Segment Requirement,SR_0125740001001,Material requirement,6898160ProducedMaterialproduced10000g,containsMaterial
Segment Requirement,SR_0125564001001,Material requirement,6888930ProducedMaterialproduced6667g,containsMaterial
Segment Requirement,SR_0125200001001,Material requirement,6777392ProducedMaterialproduced10000g,containsMaterial
Segment Requirement,SR_0124869001001,Material requirement,6726768ProducedMaterialproduced20000g,containsMaterial
Segment Requirement,SR_0126668001001,Material requirement,7101070ProducedMaterialproduced4333.336g,containsMaterial
Segment Requirement,SR_0125667001001,Material requirement,6890703ProducedMaterialproduced21250g,containsMaterial
Segment Requirement,SR_0125791001001,Material requirement,6937537ProducedMaterialproduced20000g,containsMaterial
Segment Requirement,SR_0126066001001,Material requirement,6990390ProducedMaterialproduced7500g,containsMaterial
Segment Requirement,SR_0126207001001,Material requirement,7011074ProducedMaterialproduced6250g,containsMaterial
Segment Requirement,SR_0125854001001,Material requirement,6934896ProducedMaterialproduced5333.336g,containsMaterial
Segment Requirement,SR_0125857001001,Material requirement,6950743ProducedMaterialproduced6000g,containsMaterial
Segment Requirement,SR_0124449001001,Material requirement,6672821ProducedMaterialproduced9666.672g,containsMaterial
Segment Requirement,SR_0125266001001,Material requirement,6818172ProducedMaterialproduced5333.336g,containsMaterial
Segment Requirement,SR_0125266001001_001,Material requirement,6818173ProducedMaterialproduced2666.664g,containsMaterial
Segment Requirement,SR_0125307001001,Material requirement,6839235ProducedMaterialproduced8750g,containsMaterial
Segment Requirement,SR_0125307001001_001,Material requirement,6839236ProducedMaterialproduced5250g,containsMaterial
Segment Requirement,SR_0125198001001,Material requirement,6781022ProducedMaterialproduced7583.338g,containsMaterial
Segment Requirement,SR_0125198001001_001,Material requirement,6781023ProducedMaterialproduced6416.662g,containsMaterial
Segment Requirement,SR_0124871001001,Material requirement,6735422ProducedMaterialproduced8458.338g,containsMaterial
Segment Requirement,SR_0124634001001,Material requirement,6680840ProducedMaterialproduced2666.668g,containsMaterial
Segment Requirement,SR_0125094001001,Material requirement,6764594ProducedMaterialproduced14000g,containsMaterial
Segment Requirement,SR_0125265001001,Material requirement,6795893ProducedMaterialproduced16000g,containsMaterial
Segment Requirement,SR_0125785001001,Material requirement,6919349ProducedMaterialproduced9333.338g,containsMaterial
Segment Requirement,SR_0125154001001,Material requirement,6894757ProducedMaterialproduced6000g,containsMaterial
Segment Requirement,SR_0125579001001,Material requirement,6879381ProducedMaterialproduced46000g,containsMaterial
Segment Requirement,SR_0125742001001,Material requirement,6899318ProducedMaterialproduced10000g,containsMaterial
Segment Requirement,SR_0125322001001,Material requirement,6804856ProducedMaterialproduced5333.336g,containsMaterial
Segment Requirement,SR_0125322001001_001,Material requirement,6804857ProducedMaterialproduced2666.664g,containsMaterial
Segment Requirement,SR_0125456001001,Material requirement,6835004ProducedMaterialproduced6000g,containsMaterial
Segment Requirement,SR_0125456001001_001,Material requirement,6835005ProducedMaterialproduced4000g,containsMaterial
Segment Requirement,SR_0125308001001,Material requirement,6843205ProducedMaterialproduced2583.6g,containsMaterial
Segment Requirement,SR_0125308001001_001,Material requirement,6843206ProducedMaterialproduced1416.4g,containsMaterial
Segment Requirement,SR_0125548001001,Material requirement,6902058ProducedMaterialproduced11000g,containsMaterial
Segment Requirement,SR_0125461001001,Material requirement,6832137ProducedMaterialproduced3750g,containsMaterial
Segment Requirement,SR_0125461001001_001,Material requirement,6832138ProducedMaterialproduced2250g,containsMaterial
Segment Requirement,SR_0125790001001,Material requirement,6901633ProducedMaterialproduced6250g,containsMaterial
Segment Requirement,SR_0125672001001,Material requirement,6875253ProducedMaterialproduced5833.33g,containsMaterial
Segment Requirement,SR_0126728001001,Material requirement,7120554ProducedMaterialproduced3250.2g,containsMaterial
