Source type,Source PrimaryKey,Target Type,Target PrimaryKey,Relationship Type
Segment Response,SRPS-0125545001001-484618,Equipment Actual,484618EA_0125545001001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0125545001001-484619,Equipment Actual,484619EA_0125545001001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0125545001001_001-484620,Equipment Actual,484620EA_0125545001001_001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0125545001001_001-484621,Equipment Actual,484621EA_0125545001001_001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0126444001001-484656,Equipment Actual,484656EA_0126444001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0126444001001-484657,Equipment Actual,484657EA_0126444001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0126444001001_001-484658,Equipment Actual,484658EA_0126444001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0126444001001_001-484659,Equipment Actual,484659EA_0126444001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0126444001001-484563,Equipment Actual,484563EA_0126444001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0126444001001-484564,Equipment Actual,484564EA_0126444001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0126444001001_001-484565,Equipment Actual,484565EA_0126444001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0126444001001_001-484567,Equipment Actual,484567EA_0126444001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0126618001001-484572,Equipment Actual,484572EA_0126618001001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0126618001001-484573,Equipment Actual,484573EA_0126618001001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0126618001001-484607,Equipment Actual,484607EA_0126618001001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0126618001001-484608,Equipment Actual,484608EA_0126618001001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0126618001001_001-484609,Equipment Actual,484609EA_0126618001001_001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0126618001001_001-484610,Equipment Actual,484610EA_0126618001001_001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0126618001001_001-484574,Equipment Actual,484574EA_0126618001001_001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0126202001001-484675,Equipment Actual,484675EA_0126202001001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0126202001001-484676,Equipment Actual,484676EA_0126202001001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0126618001001_001-484575,Equipment Actual,484575EA_0126618001001_001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0126444001001-484628,Equipment Actual,484628EA_0126444001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0126444001001-484629,Equipment Actual,484629EA_0126444001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0126444001001_001-484630,Equipment Actual,484630EA_0126444001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0126444001001_001-484631,Equipment Actual,484631EA_0126444001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0126275001001-484634,Equipment Actual,484634EA_0126275001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0126275001001-484635,Equipment Actual,484635EA_0126275001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0126202001001-484645,Equipment Actual,484645EA_0126202001001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0125036001001-465918,Equipment Actual,465918EA_0125036001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125036001001-465919,Equipment Actual,465919EA_0125036001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0124941001001-465922,Equipment Actual,465922EA_0124941001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0124941001001-465923,Equipment Actual,465923EA_0124941001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0124941001001_001-465924,Equipment Actual,465924EA_0124941001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0124941001001_001-465925,Equipment Actual,465925EA_0124941001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125036001001-465934,Equipment Actual,465934EA_0125036001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125036001001-465935,Equipment Actual,465935EA_0125036001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125036001001_001-465936,Equipment Actual,465936EA_0125036001001_001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125036001001_001-465937,Equipment Actual,465937EA_0125036001001_001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125019001001-465940,Equipment Actual,465940EA_0125019001001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0125019001001-465941,Equipment Actual,465941EA_0125019001001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0125019001001_001-465942,Equipment Actual,465942EA_0125019001001_001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0125019001001_001-465943,Equipment Actual,465943EA_0125019001001_001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0125036001001-465954,Equipment Actual,465954EA_0125036001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125036001001-465955,Equipment Actual,465955EA_0125036001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125036001001_001-465956,Equipment Actual,465956EA_0125036001001_001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125036001001_001-465957,Equipment Actual,465957EA_0125036001001_001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125036001001-465912,Equipment Actual,465912EA_0125036001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125036001001-465913,Equipment Actual,465913EA_0125036001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125036001001_001-465914,Equipment Actual,465914EA_0125036001001_001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125036001001_001-465915,Equipment Actual,465915EA_0125036001001_001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125036001001-465995,Equipment Actual,465995EA_0125036001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125036001001-465996,Equipment Actual,465996EA_0125036001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125036001001_001-465997,Equipment Actual,465997EA_0125036001001_001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125036001001_001-465998,Equipment Actual,465998EA_0125036001001_001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0124941001001-465961,Equipment Actual,465961EA_0124941001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0124941001001-465962,Equipment Actual,465962EA_0124941001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0124941001001_001-465963,Equipment Actual,465963EA_0124941001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0124941001001_001-465964,Equipment Actual,465964EA_0124941001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125019001001-465969,Equipment Actual,465969EA_0125019001001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0125019001001-465970,Equipment Actual,465970EA_0125019001001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0125019001001_001-465971,Equipment Actual,465971EA_0125019001001_001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0125019001001_001-465972,Equipment Actual,465972EA_0125019001001_001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0125345001001_001-470007,Equipment Actual,470007EA_0125345001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125345001001_001-470008,Equipment Actual,470008EA_0125345001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125111001001-470026,Equipment Actual,470026EA_0125111001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125111001001-470027,Equipment Actual,470027EA_0125111001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125270001001-470073,Equipment Actual,470073EA_0125270001001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0125270001001-470074,Equipment Actual,470074EA_0125270001001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0125305001001-470103,Equipment Actual,470103EA_0125305001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125305001001-470104,Equipment Actual,470104EA_0125305001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125111001001_001-470028,Equipment Actual,470028EA_0125111001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125111001001_001-470029,Equipment Actual,470029EA_0125111001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125305001001-470061,Equipment Actual,470061EA_0125305001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125305001001-470062,Equipment Actual,470062EA_0125305001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125305001001_001-470063,Equipment Actual,470063EA_0125305001001_001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125305001001_001-470105,Equipment Actual,470105EA_0125305001001_001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125305001001_001-470106,Equipment Actual,470106EA_0125305001001_001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125305001001_001-470064,Equipment Actual,470064EA_0125305001001_001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125111001001-470068,Equipment Actual,470068EA_0125111001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125111001001-470069,Equipment Actual,470069EA_0125111001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125111001001_001-470070,Equipment Actual,470070EA_0125111001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125111001001-470098,Equipment Actual,470098EA_0125111001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125111001001-470099,Equipment Actual,470099EA_0125111001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125111001001_001-470100,Equipment Actual,470100EA_0125111001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125111001001_001-470101,Equipment Actual,470101EA_0125111001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125270001001-470112,Equipment Actual,470112EA_0125270001001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0125270001001-470113,Equipment Actual,470113EA_0125270001001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0125305001001-470130,Equipment Actual,470130EA_0125305001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125305001001-470131,Equipment Actual,470131EA_0125305001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125305001001_001-470132,Equipment Actual,470132EA_0125305001001_001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125111001001-470056,Equipment Actual,470056EA_0125111001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125111001001_001-470071,Equipment Actual,470071EA_0125111001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0124582001001-461887,Equipment Actual,461887EA_0124582001001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0124582001001-461888,Equipment Actual,461888EA_0124582001001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0124730001001-461880,Equipment Actual,461880EA_0124730001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0124711001001_001-461891,Equipment Actual,461891EA_0124711001001_001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0124711001001_001-461892,Equipment Actual,461892EA_0124711001001_001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0124711001001-461895,Equipment Actual,461895EA_0124711001001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0124711001001-461896,Equipment Actual,461896EA_0124711001001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0123672001001-461931,Equipment Actual,461931EA_0123672001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0123672001001-461932,Equipment Actual,461932EA_0123672001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0124582001001-461933,Equipment Actual,461933EA_0124582001001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0124582001001-461934,Equipment Actual,461934EA_0124582001001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0123672001001-461951,Equipment Actual,461951EA_0123672001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0123672001001-461952,Equipment Actual,461952EA_0123672001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0124720001001-461935,Equipment Actual,461935EA_0124720001001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0124582001001-461958,Equipment Actual,461958EA_0124582001001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0124582001001-461959,Equipment Actual,461959EA_0124582001001BREADBLAST060hours,containsEquipment
Segment Response,SRPS-0124720001001-461964,Equipment Actual,461964EA_0124720001001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0124720001001-461965,Equipment Actual,461965EA_0124720001001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0124720001001-461936,Equipment Actual,461936EA_0124720001001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0125111001001-470380,Equipment Actual,470380EA_0125111001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125347001001-470412,Equipment Actual,470412EA_0125347001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125347001001-470413,Equipment Actual,470413EA_0125347001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125347001001_001-470414,Equipment Actual,470414EA_0125347001001_001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125347001001_001-470415,Equipment Actual,470415EA_0125347001001_001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125111001001_001-470381,Equipment Actual,470381EA_0125111001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125111001001-470400,Equipment Actual,470400EA_0125111001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125111001001-470448,Equipment Actual,470448EA_0125111001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125111001001_001-470382,Equipment Actual,470382EA_0125111001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125111001001-470430,Equipment Actual,470430EA_0125111001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125111001001-470431,Equipment Actual,470431EA_0125111001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125111001001_001-470432,Equipment Actual,470432EA_0125111001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125111001001_001-470433,Equipment Actual,470433EA_0125111001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125111001001-470449,Equipment Actual,470449EA_0125111001001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125111001001_001-470450,Equipment Actual,470450EA_0125111001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125111001001_001-470451,Equipment Actual,470451EA_0125111001001_001BREADBLAST070hours,containsEquipment
Segment Response,SRPS-0125303001001-470385,Equipment Actual,470385EA_0125303001001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0125303001001-470386,Equipment Actual,470386EA_0125303001001BREADBLAST040hours,containsEquipment
Segment Response,SRPS-0125347001001-470481,Equipment Actual,470481EA_0125347001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125347001001-470392,Equipment Actual,470392EA_0125347001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125347001001-470393,Equipment Actual,470393EA_0125347001001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125347001001_001-470394,Equipment Actual,470394EA_0125347001001_001BREADBLAST050hours,containsEquipment
Segment Response,SRPS-0125347001001_001-470395,Equipment Actual,470395EA_0125347001001_001BREADBLAST050hours,containsEquipment
