Source type,Source PrimaryKey,Target Type,Target PrimaryKey,Relationship Type
Segment Response,SRPS-0125545001001-484618,Material Actual,484618Actual-ProducedMaterialproduced550g,containsMaterial
Segment Response,SRPS-0125545001001-484618,Material Actual,3080461Actual-ConsumedMaterialconsumed550.0040000000g,containsMaterial
Segment Response,SRPS-0125545001001-484619,Material Actual,484619Actual-ProducedMaterialproduced550g,containsMaterial
Segment Response,SRPS-0125545001001-484619,Material Actual,3080471Actual-ConsumedMaterialconsumed550.0040000000g,containsMaterial
Segment Response,SRPS-0125545001001_001-484620,Material Actual,484620Actual-ProducedMaterialproduced490g,containsMaterial
Segment Response,SRPS-0125545001001_001-484620,Material Actual,3080481Actual-ConsumedMaterialconsumed490.0000000000g,containsMaterial
Segment Response,SRPS-0125545001001_001-484621,Material Actual,484621Actual-ProducedMaterialproduced490g,containsMaterial
Segment Response,SRPS-0125545001001_001-484621,Material Actual,3080491Actual-ConsumedMaterialconsumed490.0000000000g,containsMaterial
Segment Response,SRPS-0126444001001-484656,Material Actual,484656Actual-ProducedMaterialproduced790g,containsMaterial
Segment Response,SRPS-0126444001001-484656,Material Actual,3080949Actual-ConsumedMaterialconsumed790.0000000000g,containsMaterial
Segment Response,SRPS-0126444001001-484657,Material Actual,484657Actual-ProducedMaterialproduced700g,containsMaterial
Segment Response,SRPS-0126444001001-484657,Material Actual,3080959Actual-ConsumedMaterialconsumed700.0000000000g,containsMaterial
Segment Response,SRPS-0126444001001_001-484658,Material Actual,484658Actual-ProducedMaterialproduced280g,containsMaterial
Segment Response,SRPS-0126444001001_001-484658,Material Actual,3080970Actual-ConsumedMaterialconsumed280.0000000000g,containsMaterial
Segment Response,SRPS-0126444001001_001-484659,Material Actual,484659Actual-ProducedMaterialproduced260g,containsMaterial
Segment Response,SRPS-0126444001001_001-484659,Material Actual,3080980Actual-ConsumedMaterialconsumed260.0000000000g,containsMaterial
Segment Response,SRPS-0126444001001-484563,Material Actual,484563Actual-ProducedMaterialproduced557g,containsMaterial
Segment Response,SRPS-0126444001001-484563,Material Actual,3079639Actual-ConsumedMaterialconsumed557.0000000000g,containsMaterial
Segment Response,SRPS-0126444001001-484564,Material Actual,484564Actual-ProducedMaterialproduced559g,containsMaterial
Segment Response,SRPS-0126444001001-484564,Material Actual,3079649Actual-ConsumedMaterialconsumed559.0000000000g,containsMaterial
Segment Response,SRPS-0126444001001_001-484565,Material Actual,484565Actual-ProducedMaterialproduced190g,containsMaterial
Segment Response,SRPS-0126444001001_001-484565,Material Actual,3079659Actual-ConsumedMaterialconsumed190.0000000000g,containsMaterial
Segment Response,SRPS-0126444001001_001-484567,Material Actual,484567Actual-ProducedMaterialproduced202g,containsMaterial
Segment Response,SRPS-0126444001001_001-484567,Material Actual,3079677Actual-ConsumedMaterialconsumed202.0000000000g,containsMaterial
Segment Response,SRPS-0126618001001-484572,Material Actual,484572Actual-ProducedMaterialproduced723g,containsMaterial
Segment Response,SRPS-0126618001001-484572,Material Actual,3079753Actual-ConsumedMaterialconsumed723.3600000000g,containsMaterial
Segment Response,SRPS-0126618001001-484573,Material Actual,484573Actual-ProducedMaterialproduced742g,containsMaterial
Segment Response,SRPS-0126618001001-484573,Material Actual,3079762Actual-ConsumedMaterialconsumed742.3680000000g,containsMaterial
Segment Response,SRPS-0126618001001-484607,Material Actual,484607Actual-ProducedMaterialproduced732g,containsMaterial
Segment Response,SRPS-0126618001001-484607,Material Actual,3080301Actual-ConsumedMaterialconsumed732.3660000000g,containsMaterial
Segment Response,SRPS-0126618001001-484608,Material Actual,484608Actual-ProducedMaterialproduced724g,containsMaterial
Segment Response,SRPS-0126618001001-484608,Material Actual,3080310Actual-ConsumedMaterialconsumed724.3620000000g,containsMaterial
Segment Response,SRPS-0126618001001_001-484609,Material Actual,484609Actual-ProducedMaterialproduced382g,containsMaterial
Segment Response,SRPS-0126618001001_001-484609,Material Actual,3080319Actual-ConsumedMaterialconsumed381.6180000000g,containsMaterial
Segment Response,SRPS-0126618001001_001-484610,Material Actual,484610Actual-ProducedMaterialproduced374g,containsMaterial
Segment Response,SRPS-0126618001001_001-484610,Material Actual,3080328Actual-ConsumedMaterialconsumed373.6260000000g,containsMaterial
Segment Response,SRPS-0126618001001_001-484574,Material Actual,484574Actual-ProducedMaterialproduced380g,containsMaterial
Segment Response,SRPS-0126618001001_001-484574,Material Actual,3079771Actual-ConsumedMaterialconsumed379.6200000000g,containsMaterial
Segment Response,SRPS-0126202001001-484675,Material Actual,484675Actual-ProducedMaterialproduced745g,containsMaterial
Segment Response,SRPS-0126202001001-484675,Material Actual,3081225Actual-ConsumedMaterialconsumed955.1282050000g,containsMaterial
Segment Response,SRPS-0126202001001-484676,Material Actual,484676Actual-ProducedMaterialproduced745g,containsMaterial
Segment Response,SRPS-0126202001001-484676,Material Actual,3081235Actual-ConsumedMaterialconsumed955.1282050000g,containsMaterial
Segment Response,SRPS-0126618001001_001-484575,Material Actual,484575Actual-ProducedMaterialproduced382g,containsMaterial
Segment Response,SRPS-0126618001001_001-484575,Material Actual,3079780Actual-ConsumedMaterialconsumed381.6180000000g,containsMaterial
Segment Response,SRPS-0126444001001-484628,Material Actual,484628Actual-ProducedMaterialproduced470g,containsMaterial
Segment Response,SRPS-0126444001001-484628,Material Actual,3080591Actual-ConsumedMaterialconsumed470.0000000000g,containsMaterial
Segment Response,SRPS-0126444001001-484629,Material Actual,484629Actual-ProducedMaterialproduced480g,containsMaterial
Segment Response,SRPS-0126444001001-484629,Material Actual,3080601Actual-ConsumedMaterialconsumed480.0000000000g,containsMaterial
Segment Response,SRPS-0126444001001_001-484630,Material Actual,484630Actual-ProducedMaterialproduced170g,containsMaterial
Segment Response,SRPS-0126444001001_001-484630,Material Actual,3080611Actual-ConsumedMaterialconsumed170.0000000000g,containsMaterial
Segment Response,SRPS-0126444001001_001-484631,Material Actual,484631Actual-ProducedMaterialproduced170g,containsMaterial
Segment Response,SRPS-0126444001001_001-484631,Material Actual,3080621Actual-ConsumedMaterialconsumed170.0000000000g,containsMaterial
Segment Response,SRPS-0126275001001-484634,Material Actual,484634Actual-ProducedMaterialproduced1395g,containsMaterial
Segment Response,SRPS-0126275001001-484634,Material Actual,3080672Actual-ConsumedMaterialconsumed1395.0000000000g,containsMaterial
Segment Response,SRPS-0126275001001-484635,Material Actual,484635Actual-ProducedMaterialproduced1456g,containsMaterial
Segment Response,SRPS-0126275001001-484635,Material Actual,3080681Actual-ConsumedMaterialconsumed1455.9900000000g,containsMaterial
Segment Response,SRPS-0126202001001-484645,Material Actual,484645Actual-ProducedMaterialproduced765g,containsMaterial
Segment Response,SRPS-0126202001001-484645,Material Actual,3080789Actual-ConsumedMaterialconsumed980.7692310000g,containsMaterial
Segment Response,SRPS-0125036001001-465918,Material Actual,465918Actual-ProducedMaterialproduced1250g,containsMaterial
Segment Response,SRPS-0125036001001-465918,Material Actual,2879781Actual-ConsumedMaterialconsumed1250.7720000000g,containsMaterial
Segment Response,SRPS-0125036001001-465919,Material Actual,465919Actual-ProducedMaterialproduced1250g,containsMaterial
Segment Response,SRPS-0124941001001-465922,Material Actual,465922Actual-ProducedMaterialproduced672g,containsMaterial
Segment Response,SRPS-0124941001001-465922,Material Actual,2879823Actual-ConsumedMaterialconsumed672.3400000000g,containsMaterial
Segment Response,SRPS-0124941001001-465923,Material Actual,465923Actual-ProducedMaterialproduced659g,containsMaterial
Segment Response,SRPS-0124941001001-465923,Material Actual,2879832Actual-ConsumedMaterialconsumed659.3200000000g,containsMaterial
Segment Response,SRPS-0124941001001_001-465924,Material Actual,465924Actual-ProducedMaterialproduced353g,containsMaterial
Segment Response,SRPS-0124941001001_001-465924,Material Actual,2879841Actual-ConsumedMaterialconsumed352.6400000000g,containsMaterial
Segment Response,SRPS-0124941001001_001-465925,Material Actual,465925Actual-ProducedMaterialproduced350g,containsMaterial
Segment Response,SRPS-0124941001001_001-465925,Material Actual,2879850Actual-ConsumedMaterialconsumed349.6600000000g,containsMaterial
Segment Response,SRPS-0125036001001-465934,Material Actual,465934Actual-ProducedMaterialproduced591g,containsMaterial
Segment Response,SRPS-0125036001001-465934,Material Actual,2879966Actual-ConsumedMaterialconsumed591.3600000000g,containsMaterial
Segment Response,SRPS-0125036001001-465935,Material Actual,465935Actual-ProducedMaterialproduced580g,containsMaterial
Segment Response,SRPS-0125036001001-465935,Material Actual,2879975Actual-ConsumedMaterialconsumed580.3560000000g,containsMaterial
Segment Response,SRPS-0125036001001_001-465936,Material Actual,465936Actual-ProducedMaterialproduced507g,containsMaterial
Segment Response,SRPS-0125036001001_001-465936,Material Actual,2879984Actual-ConsumedMaterialconsumed506.6280000000g,containsMaterial
Segment Response,SRPS-0125036001001_001-465937,Material Actual,465937Actual-ProducedMaterialproduced493g,containsMaterial
Segment Response,SRPS-0125036001001_001-465937,Material Actual,2879993Actual-ConsumedMaterialconsumed492.6360000000g,containsMaterial
Segment Response,SRPS-0125019001001-465940,Material Actual,465940Actual-ProducedMaterialproduced760g,containsMaterial
Segment Response,SRPS-0125019001001-465940,Material Actual,2880030Actual-ConsumedMaterialconsumed760.0000000000g,containsMaterial
Segment Response,SRPS-0125019001001-465941,Material Actual,465941Actual-ProducedMaterialproduced760g,containsMaterial
Segment Response,SRPS-0125019001001-465941,Material Actual,2880039Actual-ConsumedMaterialconsumed760.0000000000g,containsMaterial
Segment Response,SRPS-0125019001001_001-465942,Material Actual,465942Actual-ProducedMaterialproduced270g,containsMaterial
Segment Response,SRPS-0125019001001_001-465942,Material Actual,2880048Actual-ConsumedMaterialconsumed270.0000000000g,containsMaterial
Segment Response,SRPS-0125019001001_001-465943,Material Actual,465943Actual-ProducedMaterialproduced270g,containsMaterial
Segment Response,SRPS-0125019001001_001-465943,Material Actual,2880057Actual-ConsumedMaterialconsumed270.0000000000g,containsMaterial
Segment Response,SRPS-0125036001001-465954,Material Actual,465954Actual-ProducedMaterialproduced621g,containsMaterial
Segment Response,SRPS-0125036001001-465954,Material Actual,2880198Actual-ConsumedMaterialconsumed621.3840000000g,containsMaterial
Segment Response,SRPS-0125036001001-465955,Material Actual,465955Actual-ProducedMaterialproduced631g,containsMaterial
Segment Response,SRPS-0125036001001-465955,Material Actual,2880207Actual-ConsumedMaterialconsumed631.3920000000g,containsMaterial
Segment Response,SRPS-0125036001001_001-465956,Material Actual,465956Actual-ProducedMaterialproduced370g,containsMaterial
Segment Response,SRPS-0125036001001_001-465956,Material Actual,2880217Actual-ConsumedMaterialconsumed369.7320000000g,containsMaterial
Segment Response,SRPS-0125036001001_001-465957,Material Actual,465957Actual-ProducedMaterialproduced535g,containsMaterial
Segment Response,SRPS-0125036001001_001-465957,Material Actual,2880226Actual-ConsumedMaterialconsumed534.6120000000g,containsMaterial
Segment Response,SRPS-0125036001001-465912,Material Actual,465912Actual-ProducedMaterialproduced446g,containsMaterial
Segment Response,SRPS-0125036001001-465913,Material Actual,465913Actual-ProducedMaterialproduced372g,containsMaterial
Segment Response,SRPS-0125036001001-465913,Material Actual,2879731Actual-ConsumedMaterialconsumed372.2280000000g,containsMaterial
Segment Response,SRPS-0125036001001_001-465914,Material Actual,465914Actual-ProducedMaterialproduced307g,containsMaterial
Segment Response,SRPS-0125036001001_001-465914,Material Actual,2879740Actual-ConsumedMaterialconsumed306.7800000000g,containsMaterial
Segment Response,SRPS-0125036001001_001-465915,Material Actual,465915Actual-ProducedMaterialproduced317g,containsMaterial
Segment Response,SRPS-0125036001001_001-465915,Material Actual,2879749Actual-ConsumedMaterialconsumed316.7640000000g,containsMaterial
Segment Response,SRPS-0125036001001-465995,Material Actual,465995Actual-ProducedMaterialproduced560g,containsMaterial
Segment Response,SRPS-0125036001001-465995,Material Actual,2880739Actual-ConsumedMaterialconsumed560.3400000000g,containsMaterial
Segment Response,SRPS-0125036001001-465996,Material Actual,465996Actual-ProducedMaterialproduced563g,containsMaterial
Segment Response,SRPS-0125036001001-465996,Material Actual,2880748Actual-ConsumedMaterialconsumed563.3520000000g,containsMaterial
Segment Response,SRPS-0125036001001_001-465997,Material Actual,465997Actual-ProducedMaterialproduced475g,containsMaterial
Segment Response,SRPS-0125036001001_001-465997,Material Actual,2880757Actual-ConsumedMaterialconsumed474.6600000000g,containsMaterial
Segment Response,SRPS-0125036001001_001-465998,Material Actual,465998Actual-ProducedMaterialproduced477g,containsMaterial
Segment Response,SRPS-0125036001001_001-465998,Material Actual,2880766Actual-ConsumedMaterialconsumed476.6520000000g,containsMaterial
Segment Response,SRPS-0124941001001-465961,Material Actual,465961Actual-ProducedMaterialproduced715g,containsMaterial
Segment Response,SRPS-0124941001001-465961,Material Actual,2880274Actual-ConsumedMaterialconsumed715.3600000000g,containsMaterial
Segment Response,SRPS-0124941001001-465962,Material Actual,465962Actual-ProducedMaterialproduced712g,containsMaterial
Segment Response,SRPS-0124941001001-465962,Material Actual,2880283Actual-ConsumedMaterialconsumed712.3600000000g,containsMaterial
Segment Response,SRPS-0124941001001_001-465963,Material Actual,465963Actual-ProducedMaterialproduced374g,containsMaterial
Segment Response,SRPS-0124941001001_001-465963,Material Actual,2880292Actual-ConsumedMaterialconsumed373.6200000000g,containsMaterial
Segment Response,SRPS-0124941001001_001-465964,Material Actual,465964Actual-ProducedMaterialproduced373g,containsMaterial
Segment Response,SRPS-0124941001001_001-465964,Material Actual,2880301Actual-ConsumedMaterialconsumed372.6200000000g,containsMaterial
Segment Response,SRPS-0125019001001-465969,Material Actual,465969Actual-ProducedMaterialproduced731g,containsMaterial
Segment Response,SRPS-0125019001001-465969,Material Actual,2880356Actual-ConsumedMaterialconsumed731.0000000000g,containsMaterial
Segment Response,SRPS-0125019001001-465970,Material Actual,465970Actual-ProducedMaterialproduced731g,containsMaterial
Segment Response,SRPS-0125019001001-465970,Material Actual,2880365Actual-ConsumedMaterialconsumed731.0000000000g,containsMaterial
Segment Response,SRPS-0125019001001_001-465971,Material Actual,465971Actual-ProducedMaterialproduced262g,containsMaterial
Segment Response,SRPS-0125019001001_001-465971,Material Actual,2880374Actual-ConsumedMaterialconsumed262.0000000000g,containsMaterial
Segment Response,SRPS-0125019001001_001-465972,Material Actual,465972Actual-ProducedMaterialproduced260g,containsMaterial
Segment Response,SRPS-0125019001001_001-465972,Material Actual,2880383Actual-ConsumedMaterialconsumed260.0000000000g,containsMaterial
