Source type,Source PrimaryKey,Target Type,Target PrimaryKey,Relationship Type
Segment Response,SRPS-0125545001001-484618,Segment Requirement,SR_0125545001001,correspondsToRequirement
Segment Response,SRPS-0125545001001-484619,Segment Requirement,SR_0125545001001,correspondsToRequirement
Segment Response,SRPS-0126444001001-484656,Segment Requirement,SR_0126444001001,correspondsToRequirement
Segment Response,SRPS-0126444001001-484657,Segment Requirement,SR_0126444001001,correspondsToRequirement
Segment Response,SRPS-0126444001001-484563,Segment Requirement,SR_0126444001001,correspondsToRequirement
Segment Response,SRPS-0126444001001-484564,Segment Requirement,SR_0126444001001,correspondsToRequirement
Segment Response,SRPS-0126618001001-484572,Segment Requirement,SR_0126618001001,correspondsToRequirement
Segment Response,SRPS-0126618001001-484573,Segment Requirement,SR_0126618001001,correspondsToRequirement
Segment Response,SRPS-0126618001001-484607,Segment Requirement,SR_0126618001001,correspondsToRequirement
Segment Response,SRPS-0126618001001-484608,Segment Requirement,SR_0126618001001,correspondsToRequirement
Segment Response,SRPS-0126202001001-484675,Segment Requirement,SR_0126202001001,correspondsToRequirement
Segment Response,SRPS-0126202001001-484676,Segment Requirement,SR_0126202001001,correspondsToRequirement
Segment Response,SRPS-0126444001001-484628,Segment Requirement,SR_0126444001001,correspondsToRequirement
Segment Response,SRPS-0126444001001-484629,Segment Requirement,SR_0126444001001,correspondsToRequirement
Segment Response,SRPS-0126275001001-484634,Segment Requirement,SR_0126275001001,correspondsToRequirement
Segment Response,SRPS-0126275001001-484635,Segment Requirement,SR_0126275001001,correspondsToRequirement
Segment Response,SRPS-0126202001001-484645,Segment Requirement,SR_0126202001001,correspondsToRequirement
Segment Response,SRPS-0125036001001-465918,Segment Requirement,SR_0125036001001,correspondsToRequirement
Segment Response,SRPS-0125036001001-465919,Segment Requirement,SR_0125036001001,correspondsToRequirement
Segment Response,SRPS-0124941001001-465922,Segment Requirement,SR_0124941001001,correspondsToRequirement
Segment Response,SRPS-0124941001001-465923,Segment Requirement,SR_0124941001001,correspondsToRequirement
Segment Response,SRPS-0125036001001-465934,Segment Requirement,SR_0125036001001,correspondsToRequirement
Segment Response,SRPS-0125036001001-465935,Segment Requirement,SR_0125036001001,correspondsToRequirement
Segment Response,SRPS-0125019001001-465940,Segment Requirement,SR_0125019001001,correspondsToRequirement
Segment Response,SRPS-0125019001001-465941,Segment Requirement,SR_0125019001001,correspondsToRequirement
Segment Response,SRPS-0125036001001-465954,Segment Requirement,SR_0125036001001,correspondsToRequirement
Segment Response,SRPS-0125036001001-465955,Segment Requirement,SR_0125036001001,correspondsToRequirement
Segment Response,SRPS-0125036001001-465912,Segment Requirement,SR_0125036001001,correspondsToRequirement
Segment Response,SRPS-0125036001001-465913,Segment Requirement,SR_0125036001001,correspondsToRequirement
Segment Response,SRPS-0125036001001-465995,Segment Requirement,SR_0125036001001,correspondsToRequirement
Segment Response,SRPS-0125036001001-465996,Segment Requirement,SR_0125036001001,correspondsToRequirement
Segment Response,SRPS-0124941001001-465961,Segment Requirement,SR_0124941001001,correspondsToRequirement
Segment Response,SRPS-0124941001001-465962,Segment Requirement,SR_0124941001001,correspondsToRequirement
Segment Response,SRPS-0125019001001-465969,Segment Requirement,SR_0125019001001,correspondsToRequirement
Segment Response,SRPS-0125019001001-465970,Segment Requirement,SR_0125019001001,correspondsToRequirement
Segment Response,SRPS-0125345001001_001-470007,Segment Requirement,SR_0125345001001_001,correspondsToRequirement
Segment Response,SRPS-0125345001001_001-470008,Segment Requirement,SR_0125345001001_001,correspondsToRequirement
Segment Response,SRPS-0125111001001-470026,Segment Requirement,SR_0125111001001,correspondsToRequirement
Segment Response,SRPS-0125111001001-470027,Segment Requirement,SR_0125111001001,correspondsToRequirement
Segment Response,SRPS-0125270001001-470073,Segment Requirement,SR_0125270001001,correspondsToRequirement
