PrimaryKey,id,description,value,valueUnitOfMeasure,sourceTimeStamp
BREADBLAST04_Temperature214.27Celsius,BREADBLAST04_Temperature,Temperature,214.27,Celsius,2023-04-30T00:00:00
BREADBLAST04_Temperature214.96Celsius,BREADBLAST04_Temperature,Temperature,214.96,Celsius,2023-04-30T00:00:10
BREADBLAST04_Temperature214.95Celsius,BREADBLAST04_Temperature,Temperature,214.95,Celsius,2023-04-30T00:00:20
BREADBLAST04_Temperature214.88Celsius,BREADBLAST04_Temperature,Temperature,214.88,Celsius,2023-04-30T00:00:30
BREADBLAST04_Temperature214.87Celsius,BREADBLAST04_Temperature,Temperature,214.87,Celsius,2023-04-30T00:00:40
BREADBLAST04_Temperature214.94Celsius,BREADBLAST04_Temperature,Temperature,214.94,Celsius,2023-04-30T00:00:50
BREADBLAST04_Temperature215Celsius,BREADBLAST04_Temperature,Temperature,215,Celsius,2023-04-30T00:01:00
BREADBLAST04_Temperature215.01Celsius,BREADBLAST04_Temperature,Temperature,215.01,Celsius,2023-04-30T00:01:30
BREADBLAST04_Temperature214.92Celsius,BREADBLAST04_Temperature,Temperature,214.92,Celsius,2023-04-30T00:02:00
BREADBLAST04_Temperature214.9Celsius,BREADBLAST04_Temperature,Temperature,214.9,Celsius,2023-04-30T00:02:10
BREADBLAST04_Temperature215.04Celsius,BREADBLAST04_Temperature,Temperature,215.04,Celsius,2023-04-30T00:03:40
BREADBLAST04_Temperature214.91Celsius,BREADBLAST04_Temperature,Temperature,214.91,Celsius,2023-04-30T00:04:00
BREADBLAST04_Temperature214.93Celsius,BREADBLAST04_Temperature,Temperature,214.93,Celsius,2023-04-30T00:04:30
BREADBLAST04_Temperature214.86Celsius,BREADBLAST04_Temperature,Temperature,214.86,Celsius,2023-04-30T00:04:40
BREADBLAST04_Temperature214.8Celsius,BREADBLAST04_Temperature,Temperature,214.8,Celsius,2023-04-30T00:04:50
BREADBLAST04_Temperature214.82Celsius,BREADBLAST04_Temperature,Temperature,214.82,Celsius,2023-04-30T00:05:10
BREADBLAST04_Temperature214.78Celsius,BREADBLAST04_Temperature,Temperature,214.78,Celsius,2023-04-30T00:05:30
BREADBLAST04_Temperature214.83Celsius,BREADBLAST04_Temperature,Temperature,214.83,Celsius,2023-04-30T00:05:40
BREADBLAST04_Temperature214.81Celsius,BREADBLAST04_Temperature,Temperature,214.81,Celsius,2023-04-30T00:06:00
BREADBLAST04_Temperature214.84Celsius,BREADBLAST04_Temperature,Temperature,214.84,Celsius,2023-04-30T00:06:20
BREADBLAST04_Temperature214.69Celsius,BREADBLAST04_Temperature,Temperature,214.69,Celsius,2023-04-30T00:06:50
BREADBLAST04_Temperature214.72Celsius,BREADBLAST04_Temperature,Temperature,214.72,Celsius,2023-04-30T00:07:10
BREADBLAST04_Temperature214.79Celsius,BREADBLAST04_Temperature,Temperature,214.79,Celsius,2023-04-30T00:07:20
BREADBLAST04_Temperature214.85Celsius,BREADBLAST04_Temperature,Temperature,214.85,Celsius,2023-04-30T00:08:10
BREADBLAST04_Temperature214.76Celsius,BREADBLAST04_Temperature,Temperature,214.76,Celsius,2023-04-30T00:08:20
BREADBLAST04_Temperature214.77Celsius,BREADBLAST04_Temperature,Temperature,214.77,Celsius,2023-04-30T00:08:30
BREADBLAST04_Temperature215.05Celsius,BREADBLAST04_Temperature,Temperature,215.05,Celsius,2023-04-30T00:09:40
BREADBLAST04_Temperature215.02Celsius,BREADBLAST04_Temperature,Temperature,215.02,Celsius,2023-04-30T00:09:50
BREADBLAST04_Temperature215.03Celsius,BREADBLAST04_Temperature,Temperature,215.03,Celsius,2023-04-30T00:10:10
BREADBLAST04_Temperature214.73Celsius,BREADBLAST04_Temperature,Temperature,214.73,Celsius,2023-04-30T00:11:40
BREADBLAST04_Temperature214.89Celsius,BREADBLAST04_Temperature,Temperature,214.89,Celsius,2023-04-30T00:12:20
BREADBLAST04_Temperature214.75Celsius,BREADBLAST04_Temperature,Temperature,214.75,Celsius,2023-04-30T00:12:40
BREADBLAST04_Temperature214.7Celsius,BREADBLAST04_Temperature,Temperature,214.7,Celsius,2023-04-30T00:13:00
BREADBLAST04_Temperature214.74Celsius,BREADBLAST04_Temperature,Temperature,214.74,Celsius,2023-04-30T00:15:00
BREADBLAST04_Temperature214.68Celsius,BREADBLAST04_Temperature,Temperature,214.68,Celsius,2023-04-30T00:15:10
BREADBLAST04_Temperature214.67Celsius,BREADBLAST04_Temperature,Temperature,214.67,Celsius,2023-04-30T00:15:50
BREADBLAST04_Temperature214.61Celsius,BREADBLAST04_Temperature,Temperature,214.61,Celsius,2023-04-30T00:16:00
BREADBLAST04_Temperature214.62Celsius,BREADBLAST04_Temperature,Temperature,214.62,Celsius,2023-04-30T00:16:10
BREADBLAST04_Temperature214.52Celsius,BREADBLAST04_Temperature,Temperature,214.52,Celsius,2023-04-30T00:16:30
BREADBLAST04_Temperature214.45Celsius,BREADBLAST04_Temperature,Temperature,214.45,Celsius,2023-04-30T00:16:40
BREADBLAST04_Temperature214.54Celsius,BREADBLAST04_Temperature,Temperature,214.54,Celsius,2023-04-30T00:17:10
BREADBLAST04_Temperature214.47Celsius,BREADBLAST04_Temperature,Temperature,214.47,Celsius,2023-04-30T00:17:20
BREADBLAST04_Temperature214.5Celsius,BREADBLAST04_Temperature,Temperature,214.5,Celsius,2023-04-30T00:17:30
BREADBLAST04_Temperature214.59Celsius,BREADBLAST04_Temperature,Temperature,214.59,Celsius,2023-04-30T00:17:40
BREADBLAST04_Temperature214.55Celsius,BREADBLAST04_Temperature,Temperature,214.55,Celsius,2023-04-30T00:17:50
BREADBLAST04_Temperature214.57Celsius,BREADBLAST04_Temperature,Temperature,214.57,Celsius,2023-04-30T00:18:10
BREADBLAST04_Temperature214.64Celsius,BREADBLAST04_Temperature,Temperature,214.64,Celsius,2023-04-30T00:18:30
BREADBLAST04_Temperature214.71Celsius,BREADBLAST04_Temperature,Temperature,214.71,Celsius,2023-04-30T00:19:20
BREADBLAST04_Temperature214.63Celsius,BREADBLAST04_Temperature,Temperature,214.63,Celsius,2023-04-30T00:20:00
BREADBLAST04_Temperature214.43Celsius,BREADBLAST04_Temperature,Temperature,214.43,Celsius,2023-04-30T00:21:00
BREADBLAST04_Temperature214.49Celsius,BREADBLAST04_Temperature,Temperature,214.49,Celsius,2023-04-30T00:21:30
BREADBLAST04_Temperature214.39Celsius,BREADBLAST04_Temperature,Temperature,214.39,Celsius,2023-04-30T00:21:50
BREADBLAST04_Temperature214.48Celsius,BREADBLAST04_Temperature,Temperature,214.48,Celsius,2023-04-30T00:22:00
BREADBLAST04_Temperature214.6Celsius,BREADBLAST04_Temperature,Temperature,214.6,Celsius,2023-04-30T00:22:30
BREADBLAST04_Temperature214.58Celsius,BREADBLAST04_Temperature,Temperature,214.58,Celsius,2023-04-30T00:23:50
BREADBLAST04_Temperature214.53Celsius,BREADBLAST04_Temperature,Temperature,214.53,Celsius,2023-04-30T00:26:50
BREADBLAST04_Temperature214.44Celsius,BREADBLAST04_Temperature,Temperature,214.44,Celsius,2023-04-30T00:27:00
BREADBLAST04_Temperature214.56Celsius,BREADBLAST04_Temperature,Temperature,214.56,Celsius,2023-04-30T00:30:00
BREADBLAST04_Temperature214.65Celsius,BREADBLAST04_Temperature,Temperature,214.65,Celsius,2023-04-30T00:31:20
BREADBLAST04_Temperature214.46Celsius,BREADBLAST04_Temperature,Temperature,214.46,Celsius,2023-04-30T00:32:30
BREADBLAST04_Temperature214.51Celsius,BREADBLAST04_Temperature,Temperature,214.51,Celsius,2023-04-30T00:33:10
BREADBLAST04_Temperature214.38Celsius,BREADBLAST04_Temperature,Temperature,214.38,Celsius,2023-04-30T00:33:50
BREADBLAST04_Temperature214.15Celsius,BREADBLAST04_Temperature,Temperature,214.15,Celsius,2023-04-30T00:34:50
BREADBLAST04_Temperature214.06Celsius,BREADBLAST04_Temperature,Temperature,214.06,Celsius,2023-04-30T00:35:00
BREADBLAST04_Temperature214.21Celsius,BREADBLAST04_Temperature,Temperature,214.21,Celsius,2023-04-30T00:35:20
BREADBLAST04_Temperature214.19Celsius,BREADBLAST04_Temperature,Temperature,214.19,Celsius,2023-04-30T00:35:30
BREADBLAST04_Temperature214.13Celsius,BREADBLAST04_Temperature,Temperature,214.13,Celsius,2023-04-30T00:35:40
BREADBLAST04_Temperature214.1Celsius,BREADBLAST04_Temperature,Temperature,214.1,Celsius,2023-04-30T00:35:50
BREADBLAST04_Temperature214.01Celsius,BREADBLAST04_Temperature,Temperature,214.01,Celsius,2023-04-30T00:36:00
BREADBLAST04_Temperature213.95Celsius,BREADBLAST04_Temperature,Temperature,213.95,Celsius,2023-04-30T00:36:10
BREADBLAST04_Temperature214.03Celsius,BREADBLAST04_Temperature,Temperature,214.03,Celsius,2023-04-30T00:36:20
BREADBLAST04_Temperature213.98Celsius,BREADBLAST04_Temperature,Temperature,213.98,Celsius,2023-04-30T00:36:30
BREADBLAST04_Temperature213.89Celsius,BREADBLAST04_Temperature,Temperature,213.89,Celsius,2023-04-30T00:36:40
BREADBLAST04_Temperature213.92Celsius,BREADBLAST04_Temperature,Temperature,213.92,Celsius,2023-04-30T00:36:50
BREADBLAST04_Temperature213.9Celsius,BREADBLAST04_Temperature,Temperature,213.9,Celsius,2023-04-30T00:37:00
BREADBLAST04_Temperature213.91Celsius,BREADBLAST04_Temperature,Temperature,213.91,Celsius,2023-04-30T00:37:10
BREADBLAST04_Temperature214.14Celsius,BREADBLAST04_Temperature,Temperature,214.14,Celsius,2023-04-30T00:38:20
BREADBLAST04_Temperature214.09Celsius,BREADBLAST04_Temperature,Temperature,214.09,Celsius,2023-04-30T00:38:50
BREADBLAST04_Temperature214Celsius,BREADBLAST04_Temperature,Temperature,214,Celsius,2023-04-30T00:39:00
BREADBLAST04_Temperature213.94Celsius,BREADBLAST04_Temperature,Temperature,213.94,Celsius,2023-04-30T00:39:10
BREADBLAST04_Temperature213.85Celsius,BREADBLAST04_Temperature,Temperature,213.85,Celsius,2023-04-30T00:39:30
BREADBLAST04_Temperature213.84Celsius,BREADBLAST04_Temperature,Temperature,213.84,Celsius,2023-04-30T00:41:50
BREADBLAST04_Temperature213.97Celsius,BREADBLAST04_Temperature,Temperature,213.97,Celsius,2023-04-30T00:42:20
BREADBLAST04_Temperature213.96Celsius,BREADBLAST04_Temperature,Temperature,213.96,Celsius,2023-04-30T00:42:30
BREADBLAST04_Temperature213.83Celsius,BREADBLAST04_Temperature,Temperature,213.83,Celsius,2023-04-30T00:43:30
BREADBLAST04_Temperature213.99Celsius,BREADBLAST04_Temperature,Temperature,213.99,Celsius,2023-04-30T00:44:20
BREADBLAST04_Temperature213.77Celsius,BREADBLAST04_Temperature,Temperature,213.77,Celsius,2023-04-30T00:45:10
BREADBLAST04_Temperature213.93Celsius,BREADBLAST04_Temperature,Temperature,213.93,Celsius,2023-04-30T00:45:30
BREADBLAST04_Temperature213.86Celsius,BREADBLAST04_Temperature,Temperature,213.86,Celsius,2023-04-30T00:46:10
BREADBLAST04_Temperature213.73Celsius,BREADBLAST04_Temperature,Temperature,213.73,Celsius,2023-04-30T00:46:30
BREADBLAST04_Temperature213.68Celsius,BREADBLAST04_Temperature,Temperature,213.68,Celsius,2023-04-30T00:46:50
BREADBLAST04_Temperature213.72Celsius,BREADBLAST04_Temperature,Temperature,213.72,Celsius,2023-04-30T00:47:00
BREADBLAST04_Temperature213.62Celsius,BREADBLAST04_Temperature,Temperature,213.62,Celsius,2023-04-30T00:47:10
BREADBLAST04_Temperature213.64Celsius,BREADBLAST04_Temperature,Temperature,213.64,Celsius,2023-04-30T00:47:20
BREADBLAST04_Temperature213.59Celsius,BREADBLAST04_Temperature,Temperature,213.59,Celsius,2023-04-30T00:47:30
BREADBLAST04_Temperature213.52Celsius,BREADBLAST04_Temperature,Temperature,213.52,Celsius,2023-04-30T00:47:50
BREADBLAST04_Temperature213.53Celsius,BREADBLAST04_Temperature,Temperature,213.53,Celsius,2023-04-30T00:48:00
BREADBLAST04_Temperature213.56Celsius,BREADBLAST04_Temperature,Temperature,213.56,Celsius,2023-04-30T00:48:10
BREADBLAST04_Temperature213.48Celsius,BREADBLAST04_Temperature,Temperature,213.48,Celsius,2023-04-30T00:48:20
BREADBLAST04_Temperature213.46Celsius,BREADBLAST04_Temperature,Temperature,213.46,Celsius,2023-04-30T00:48:30
BREADBLAST04_Temperature213.7Celsius,BREADBLAST04_Temperature,Temperature,213.7,Celsius,2023-04-30T00:49:00
BREADBLAST04_Temperature213.67Celsius,BREADBLAST04_Temperature,Temperature,213.67,Celsius,2023-04-30T00:49:10
BREADBLAST04_Temperature213.71Celsius,BREADBLAST04_Temperature,Temperature,213.71,Celsius,2023-04-30T00:49:30
BREADBLAST04_Temperature213.69Celsius,BREADBLAST04_Temperature,Temperature,213.69,Celsius,2023-04-30T00:50:00
BREADBLAST04_Temperature213.75Celsius,BREADBLAST04_Temperature,Temperature,213.75,Celsius,2023-04-30T00:50:20
BREADBLAST04_Temperature213.87Celsius,BREADBLAST04_Temperature,Temperature,213.87,Celsius,2023-04-30T00:52:30
BREADBLAST04_Temperature213.8Celsius,BREADBLAST04_Temperature,Temperature,213.8,Celsius,2023-04-30T00:52:50
BREADBLAST04_Temperature213.82Celsius,BREADBLAST04_Temperature,Temperature,213.82,Celsius,2023-04-30T00:53:40
BREADBLAST04_Temperature213.79Celsius,BREADBLAST04_Temperature,Temperature,213.79,Celsius,2023-04-30T00:53:50
BREADBLAST04_Temperature213.76Celsius,BREADBLAST04_Temperature,Temperature,213.76,Celsius,2023-04-30T00:54:00
BREADBLAST04_Temperature213.78Celsius,BREADBLAST04_Temperature,Temperature,213.78,Celsius,2023-04-30T00:54:20
BREADBLAST04_Temperature213.61Celsius,BREADBLAST04_Temperature,Temperature,213.61,Celsius,2023-04-30T00:54:40
BREADBLAST04_Temperature213.65Celsius,BREADBLAST04_Temperature,Temperature,213.65,Celsius,2023-04-30T00:55:00
BREADBLAST04_Temperature213.81Celsius,BREADBLAST04_Temperature,Temperature,213.81,Celsius,2023-04-30T00:57:30
BREADBLAST04_Temperature213.66Celsius,BREADBLAST04_Temperature,Temperature,213.66,Celsius,2023-04-30T00:58:20
BREADBLAST04_Temperature213.58Celsius,BREADBLAST04_Temperature,Temperature,213.58,Celsius,2023-04-30T00:58:40
BREADBLAST04_Temperature214.02Celsius,BREADBLAST04_Temperature,Temperature,214.02,Celsius,2023-04-30T01:00:40
BREADBLAST04_Temperature214.11Celsius,BREADBLAST04_Temperature,Temperature,214.11,Celsius,2023-04-30T01:00:50
BREADBLAST04_Temperature214.07Celsius,BREADBLAST04_Temperature,Temperature,214.07,Celsius,2023-04-30T01:01:20
BREADBLAST04_Temperature213.88Celsius,BREADBLAST04_Temperature,Temperature,213.88,Celsius,2023-04-30T01:02:50
BREADBLAST04_Temperature213.74Celsius,BREADBLAST04_Temperature,Temperature,213.74,Celsius,2023-04-30T01:07:50
BREADBLAST04_Temperature213.63Celsius,BREADBLAST04_Temperature,Temperature,213.63,Celsius,2023-04-30T01:12:10
BREADBLAST04_Temperature213.55Celsius,BREADBLAST04_Temperature,Temperature,213.55,Celsius,2023-04-30T01:12:20
BREADBLAST04_Temperature213.5Celsius,BREADBLAST04_Temperature,Temperature,213.5,Celsius,2023-04-30T01:19:30
BREADBLAST04_Temperature213.6Celsius,BREADBLAST04_Temperature,Temperature,213.6,Celsius,2023-04-30T01:19:50
BREADBLAST04_Temperature213.49Celsius,BREADBLAST04_Temperature,Temperature,213.49,Celsius,2023-04-30T01:20:10
BREADBLAST04_Temperature213.51Celsius,BREADBLAST04_Temperature,Temperature,213.51,Celsius,2023-04-30T01:20:30
BREADBLAST04_Temperature213.47Celsius,BREADBLAST04_Temperature,Temperature,213.47,Celsius,2023-04-30T01:21:50
BREADBLAST04_Temperature213.43Celsius,BREADBLAST04_Temperature,Temperature,213.43,Celsius,2023-04-30T01:22:10
BREADBLAST04_Temperature213.27Celsius,BREADBLAST04_Temperature,Temperature,213.27,Celsius,2023-04-30T01:22:30
BREADBLAST04_Temperature213.26Celsius,BREADBLAST04_Temperature,Temperature,213.26,Celsius,2023-04-30T01:22:40
BREADBLAST04_Temperature213.28Celsius,BREADBLAST04_Temperature,Temperature,213.28,Celsius,2023-04-30T01:22:50
BREADBLAST04_Temperature213.35Celsius,BREADBLAST04_Temperature,Temperature,213.35,Celsius,2023-04-30T01:23:00
BREADBLAST04_Temperature213.37Celsius,BREADBLAST04_Temperature,Temperature,213.37,Celsius,2023-04-30T01:23:10
BREADBLAST04_Temperature213.36Celsius,BREADBLAST04_Temperature,Temperature,213.36,Celsius,2023-04-30T01:23:30
BREADBLAST04_Temperature213.19Celsius,BREADBLAST04_Temperature,Temperature,213.19,Celsius,2023-04-30T01:23:50
BREADBLAST04_Temperature213.11Celsius,BREADBLAST04_Temperature,Temperature,213.11,Celsius,2023-04-30T01:24:00
BREADBLAST04_Temperature213.09Celsius,BREADBLAST04_Temperature,Temperature,213.09,Celsius,2023-04-30T01:24:20
BREADBLAST04_Temperature213.17Celsius,BREADBLAST04_Temperature,Temperature,213.17,Celsius,2023-04-30T01:24:50
BREADBLAST04_Temperature213.39Celsius,BREADBLAST04_Temperature,Temperature,213.39,Celsius,2023-04-30T01:25:30
BREADBLAST04_Temperature213.31Celsius,BREADBLAST04_Temperature,Temperature,213.31,Celsius,2023-04-30T01:25:40
BREADBLAST04_Temperature213.22Celsius,BREADBLAST04_Temperature,Temperature,213.22,Celsius,2023-04-30T01:25:50
BREADBLAST04_Temperature213.21Celsius,BREADBLAST04_Temperature,Temperature,213.21,Celsius,2023-04-30T01:26:00
BREADBLAST04_Temperature213.32Celsius,BREADBLAST04_Temperature,Temperature,213.32,Celsius,2023-04-30T01:26:50
BREADBLAST04_Temperature213.44Celsius,BREADBLAST04_Temperature,Temperature,213.44,Celsius,2023-04-30T01:27:20
BREADBLAST04_Temperature213.38Celsius,BREADBLAST04_Temperature,Temperature,213.38,Celsius,2023-04-30T01:27:30
BREADBLAST04_Temperature213.42Celsius,BREADBLAST04_Temperature,Temperature,213.42,Celsius,2023-04-30T01:28:10
BREADBLAST04_Temperature213.34Celsius,BREADBLAST04_Temperature,Temperature,213.34,Celsius,2023-04-30T01:28:20
BREADBLAST04_Temperature213.3Celsius,BREADBLAST04_Temperature,Temperature,213.3,Celsius,2023-04-30T01:28:50
BREADBLAST04_Temperature213.33Celsius,BREADBLAST04_Temperature,Temperature,213.33,Celsius,2023-04-30T01:30:20
BREADBLAST04_Temperature213.4Celsius,BREADBLAST04_Temperature,Temperature,213.4,Celsius,2023-04-30T01:32:00
BREADBLAST04_Temperature213.16Celsius,BREADBLAST04_Temperature,Temperature,213.16,Celsius,2023-04-30T01:32:40
BREADBLAST04_Temperature213.12Celsius,BREADBLAST04_Temperature,Temperature,213.12,Celsius,2023-04-30T01:32:50
BREADBLAST04_Temperature213.14Celsius,BREADBLAST04_Temperature,Temperature,213.14,Celsius,2023-04-30T01:33:00
BREADBLAST04_Temperature212.99Celsius,BREADBLAST04_Temperature,Temperature,212.99,Celsius,2023-04-30T01:33:20
BREADBLAST04_Temperature213.07Celsius,BREADBLAST04_Temperature,Temperature,213.07,Celsius,2023-04-30T01:33:30
BREADBLAST04_Temperature213.1Celsius,BREADBLAST04_Temperature,Temperature,213.1,Celsius,2023-04-30T01:33:40
BREADBLAST04_Temperature213.05Celsius,BREADBLAST04_Temperature,Temperature,213.05,Celsius,2023-04-30T01:34:00
BREADBLAST04_Temperature213.03Celsius,BREADBLAST04_Temperature,Temperature,213.03,Celsius,2023-04-30T01:34:10
BREADBLAST04_Temperature212.98Celsius,BREADBLAST04_Temperature,Temperature,212.98,Celsius,2023-04-30T01:34:20
BREADBLAST04_Temperature212.97Celsius,BREADBLAST04_Temperature,Temperature,212.97,Celsius,2023-04-30T01:34:30
BREADBLAST04_Temperature212.93Celsius,BREADBLAST04_Temperature,Temperature,212.93,Celsius,2023-04-30T01:34:50
BREADBLAST04_Temperature212.91Celsius,BREADBLAST04_Temperature,Temperature,212.91,Celsius,2023-04-30T01:35:00
BREADBLAST04_Temperature212.94Celsius,BREADBLAST04_Temperature,Temperature,212.94,Celsius,2023-04-30T01:35:10
BREADBLAST04_Temperature212.87Celsius,BREADBLAST04_Temperature,Temperature,212.87,Celsius,2023-04-30T01:35:20
BREADBLAST04_Temperature212.9Celsius,BREADBLAST04_Temperature,Temperature,212.9,Celsius,2023-04-30T01:35:30
BREADBLAST04_Temperature212.83Celsius,BREADBLAST04_Temperature,Temperature,212.83,Celsius,2023-04-30T01:35:40
BREADBLAST04_Temperature212.84Celsius,BREADBLAST04_Temperature,Temperature,212.84,Celsius,2023-04-30T01:36:00
BREADBLAST04_Temperature212.74Celsius,BREADBLAST04_Temperature,Temperature,212.74,Celsius,2023-04-30T01:36:10
BREADBLAST04_Temperature212.79Celsius,BREADBLAST04_Temperature,Temperature,212.79,Celsius,2023-04-30T01:36:20
BREADBLAST04_Temperature212.88Celsius,BREADBLAST04_Temperature,Temperature,212.88,Celsius,2023-04-30T01:36:30
BREADBLAST04_Temperature212.96Celsius,BREADBLAST04_Temperature,Temperature,212.96,Celsius,2023-04-30T01:36:40
BREADBLAST04_Temperature212.86Celsius,BREADBLAST04_Temperature,Temperature,212.86,Celsius,2023-04-30T01:37:20
BREADBLAST04_Temperature212.75Celsius,BREADBLAST04_Temperature,Temperature,212.75,Celsius,2023-04-30T01:38:10
BREADBLAST04_Temperature212.77Celsius,BREADBLAST04_Temperature,Temperature,212.77,Celsius,2023-04-30T01:38:30
BREADBLAST04_Temperature212.68Celsius,BREADBLAST04_Temperature,Temperature,212.68,Celsius,2023-04-30T01:38:40
BREADBLAST04_Temperature212.78Celsius,BREADBLAST04_Temperature,Temperature,212.78,Celsius,2023-04-30T01:40:00
BREADBLAST04_Temperature212.8Celsius,BREADBLAST04_Temperature,Temperature,212.8,Celsius,2023-04-30T01:40:20
BREADBLAST04_Temperature212.76Celsius,BREADBLAST04_Temperature,Temperature,212.76,Celsius,2023-04-30T01:40:30
BREADBLAST04_Temperature212.69Celsius,BREADBLAST04_Temperature,Temperature,212.69,Celsius,2023-04-30T01:41:00
BREADBLAST04_Temperature212.81Celsius,BREADBLAST04_Temperature,Temperature,212.81,Celsius,2023-04-30T01:41:50
BREADBLAST04_Temperature213.02Celsius,BREADBLAST04_Temperature,Temperature,213.02,Celsius,2023-04-30T01:42:20
BREADBLAST04_Temperature213.01Celsius,BREADBLAST04_Temperature,Temperature,213.01,Celsius,2023-04-30T01:42:30
BREADBLAST04_Temperature212.85Celsius,BREADBLAST04_Temperature,Temperature,212.85,Celsius,2023-04-30T01:43:50
BREADBLAST04_Temperature212.64Celsius,BREADBLAST04_Temperature,Temperature,212.64,Celsius,2023-04-30T01:44:20
BREADBLAST04_Temperature212.73Celsius,BREADBLAST04_Temperature,Temperature,212.73,Celsius,2023-04-30T01:44:30
BREADBLAST04_Temperature212.72Celsius,BREADBLAST04_Temperature,Temperature,212.72,Celsius,2023-04-30T01:45:50
BREADBLAST04_Temperature212.71Celsius,BREADBLAST04_Temperature,Temperature,212.71,Celsius,2023-04-30T01:46:50
BREADBLAST04_Temperature212.65Celsius,BREADBLAST04_Temperature,Temperature,212.65,Celsius,2023-04-30T01:47:10
BREADBLAST04_Temperature212.7Celsius,BREADBLAST04_Temperature,Temperature,212.7,Celsius,2023-04-30T01:47:30
BREADBLAST04_Temperature212.67Celsius,BREADBLAST04_Temperature,Temperature,212.67,Celsius,2023-04-30T01:49:50
BREADBLAST04_Temperature212.6Celsius,BREADBLAST04_Temperature,Temperature,212.6,Celsius,2023-04-30T01:50:00
BREADBLAST04_Temperature212.58Celsius,BREADBLAST04_Temperature,Temperature,212.58,Celsius,2023-04-30T01:50:10
BREADBLAST04_Temperature212.59Celsius,BREADBLAST04_Temperature,Temperature,212.59,Celsius,2023-04-30T01:50:20
BREADBLAST04_Temperature212.61Celsius,BREADBLAST04_Temperature,Temperature,212.61,Celsius,2023-04-30T01:50:30
BREADBLAST04_Temperature213.04Celsius,BREADBLAST04_Temperature,Temperature,213.04,Celsius,2023-04-30T01:52:50
BREADBLAST04_Temperature212.95Celsius,BREADBLAST04_Temperature,Temperature,212.95,Celsius,2023-04-30T01:54:40
BREADBLAST04_Temperature212.82Celsius,BREADBLAST04_Temperature,Temperature,212.82,Celsius,2023-04-30T01:55:10
BREADBLAST04_Temperature212.89Celsius,BREADBLAST04_Temperature,Temperature,212.89,Celsius,2023-04-30T01:57:50
BREADBLAST04_Temperature212.92Celsius,BREADBLAST04_Temperature,Temperature,212.92,Celsius,2023-04-30T01:59:50
BREADBLAST04_Temperature213.13Celsius,BREADBLAST04_Temperature,Temperature,213.13,Celsius,2023-04-30T02:00:50
BREADBLAST04_Temperature213.15Celsius,BREADBLAST04_Temperature,Temperature,213.15,Celsius,2023-04-30T02:01:00
BREADBLAST04_Temperature213.18Celsius,BREADBLAST04_Temperature,Temperature,213.18,Celsius,2023-04-30T02:01:40
BREADBLAST04_Temperature213.2Celsius,BREADBLAST04_Temperature,Temperature,213.2,Celsius,2023-04-30T02:01:50
BREADBLAST04_Temperature213.23Celsius,BREADBLAST04_Temperature,Temperature,213.23,Celsius,2023-04-30T02:02:10
BREADBLAST04_Temperature213Celsius,BREADBLAST04_Temperature,Temperature,213,Celsius,2023-04-30T02:03:30
BREADBLAST04_Temperature213.08Celsius,BREADBLAST04_Temperature,Temperature,213.08,Celsius,2023-04-30T02:09:20
BREADBLAST04_Temperature213.24Celsius,BREADBLAST04_Temperature,Temperature,213.24,Celsius,2023-04-30T02:15:20
BREADBLAST04_Temperature214.17Celsius,BREADBLAST04_Temperature,Temperature,214.17,Celsius,2023-04-30T02:30:10
BREADBLAST04_Temperature214.2Celsius,BREADBLAST04_Temperature,Temperature,214.2,Celsius,2023-04-30T02:30:20
BREADBLAST04_Temperature214.22Celsius,BREADBLAST04_Temperature,Temperature,214.22,Celsius,2023-04-30T02:31:10
BREADBLAST04_Temperature214.31Celsius,BREADBLAST04_Temperature,Temperature,214.31,Celsius,2023-04-30T02:31:20
BREADBLAST04_Temperature214.25Celsius,BREADBLAST04_Temperature,Temperature,214.25,Celsius,2023-04-30T02:31:30
BREADBLAST04_Temperature214.23Celsius,BREADBLAST04_Temperature,Temperature,214.23,Celsius,2023-04-30T02:31:40
BREADBLAST04_Temperature214.3Celsius,BREADBLAST04_Temperature,Temperature,214.3,Celsius,2023-04-30T02:32:00
BREADBLAST04_Temperature214.4Celsius,BREADBLAST04_Temperature,Temperature,214.4,Celsius,2023-04-30T02:32:40
BREADBLAST04_Temperature214.33Celsius,BREADBLAST04_Temperature,Temperature,214.33,Celsius,2023-04-30T02:33:00
BREADBLAST04_Temperature214.37Celsius,BREADBLAST04_Temperature,Temperature,214.37,Celsius,2023-04-30T02:33:20
BREADBLAST04_Temperature214.35Celsius,BREADBLAST04_Temperature,Temperature,214.35,Celsius,2023-04-30T02:33:40
BREADBLAST04_Temperature214.28Celsius,BREADBLAST04_Temperature,Temperature,214.28,Celsius,2023-04-30T02:34:20
BREADBLAST04_Temperature214.66Celsius,BREADBLAST04_Temperature,Temperature,214.66,Celsius,2023-04-30T02:37:40
