Source type,Source PrimaryKey,Target Type,Target PrimaryKey,Relationship Type
Material Actual,484618Actual-ProducedMaterialproduced550g,Material Lot,HYDM3140620,correspondsToLot
Material Actual,484619Actual-ProducedMaterialproduced550g,Material Lot,HYDM3140621,correspondsToLot
Material Actual,484620Actual-ProducedMaterialproduced490g,Material Lot,HYDM3140622,correspondsToLot
Material Actual,484621Actual-ProducedMaterialproduced490g,Material Lot,HYDM3140623,correspondsToLot
Material Actual,484656Actual-ProducedMaterialproduced790g,Material Lot,HYDQ3150600,correspondsToLot
Material Actual,484657Actual-ProducedMaterialproduced700g,Material Lot,HYDQ3150601,correspondsToLot
Material Actual,484658Actual-ProducedMaterialproduced280g,Material Lot,HYDQ3150602,correspondsToLot
Material Actual,484659Actual-ProducedMaterialproduced260g,Material Lot,HYDQ3150603,correspondsToLot
Material Actual,484563Actual-ProducedMaterialproduced557g,Material Lot,HYDQ3140614,correspondsToLot
Material Actual,484564Actual-ProducedMaterialproduced559g,Material Lot,HYDQ3140615,correspondsToLot
Material Actual,484565Actual-ProducedMaterialproduced190g,Material Lot,HYDQ3140616,correspondsToLot
Material Actual,484567Actual-ProducedMaterialproduced202g,Material Lot,HYDQ3140617,correspondsToLot
Material Actual,484572Actual-ProducedMaterialproduced723g,Material Lot,HYDL3140620,correspondsToLot
Material Actual,484573Actual-ProducedMaterialproduced742g,Material Lot,HYDL3140621,correspondsToLot
Material Actual,484607Actual-ProducedMaterialproduced732g,Material Lot,HYDL3140625,correspondsToLot
Material Actual,484608Actual-ProducedMaterialproduced724g,Material Lot,HYDL3140626,correspondsToLot
Material Actual,484609Actual-ProducedMaterialproduced382g,Material Lot,HYDL3140627,correspondsToLot
Material Actual,484610Actual-ProducedMaterialproduced374g,Material Lot,HYDL3140628,correspondsToLot
Material Actual,484574Actual-ProducedMaterialproduced380g,Material Lot,HYDL3140622,correspondsToLot
Material Actual,484675Actual-ProducedMaterialproduced745g,Material Lot,HYDM3150602,correspondsToLot
Material Actual,484676Actual-ProducedMaterialproduced745g,Material Lot,HYDM3150603,correspondsToLot
Material Actual,484575Actual-ProducedMaterialproduced382g,Material Lot,HYDL3140623,correspondsToLot
Material Actual,484628Actual-ProducedMaterialproduced470g,Material Lot,HYDQ3140618,correspondsToLot
Material Actual,484629Actual-ProducedMaterialproduced480g,Material Lot,HYDQ3140619,correspondsToLot
Material Actual,484630Actual-ProducedMaterialproduced170g,Material Lot,HYDQ3140620,correspondsToLot
Material Actual,484631Actual-ProducedMaterialproduced170g,Material Lot,HYDQ3140621,correspondsToLot
Material Actual,484634Actual-ProducedMaterialproduced1395g,Material Lot,HYDK3140607,correspondsToLot
Material Actual,484635Actual-ProducedMaterialproduced1456g,Material Lot,HYDK3140608,correspondsToLot
Material Actual,484645Actual-ProducedMaterialproduced765g,Material Lot,HYDM3150601,correspondsToLot
Material Actual,465918Actual-ProducedMaterialproduced1250g,Material Lot,HYDK3160304,correspondsToLot
Material Actual,465919Actual-ProducedMaterialproduced1250g,Material Lot,HYDK3160305,correspondsToLot
Material Actual,465922Actual-ProducedMaterialproduced672g,Material Lot,HYDQ3160300,correspondsToLot
Material Actual,465923Actual-ProducedMaterialproduced659g,Material Lot,HYDQ3160301,correspondsToLot
Material Actual,465924Actual-ProducedMaterialproduced353g,Material Lot,HYDQ3160302,correspondsToLot
Material Actual,465925Actual-ProducedMaterialproduced350g,Material Lot,HYDQ3160303,correspondsToLot
Material Actual,465934Actual-ProducedMaterialproduced591g,Material Lot,HYDK3160306,correspondsToLot
Material Actual,465935Actual-ProducedMaterialproduced580g,Material Lot,HYDK3160307,correspondsToLot
Material Actual,465936Actual-ProducedMaterialproduced507g,Material Lot,HYDK3160308,correspondsToLot
Material Actual,465937Actual-ProducedMaterialproduced493g,Material Lot,HYDK3160309,correspondsToLot
Material Actual,465940Actual-ProducedMaterialproduced760g,Material Lot,HYDL3160300,correspondsToLot
Material Actual,465941Actual-ProducedMaterialproduced760g,Material Lot,HYDL3160301,correspondsToLot
Material Actual,465942Actual-ProducedMaterialproduced270g,Material Lot,HYDL3160302,correspondsToLot
Material Actual,465943Actual-ProducedMaterialproduced270g,Material Lot,HYDL3160303,correspondsToLot
Material Actual,465954Actual-ProducedMaterialproduced621g,Material Lot,HYDK3160310,correspondsToLot
Material Actual,465955Actual-ProducedMaterialproduced631g,Material Lot,HYDK3160311,correspondsToLot
Material Actual,465956Actual-ProducedMaterialproduced370g,Material Lot,HYDK3160312,correspondsToLot
Material Actual,465957Actual-ProducedMaterialproduced535g,Material Lot,HYDK3160313,correspondsToLot
Material Actual,465912Actual-ProducedMaterialproduced446g,Material Lot,HYDK3160300,correspondsToLot
Material Actual,465913Actual-ProducedMaterialproduced372g,Material Lot,HYDK3160301,correspondsToLot
Material Actual,465914Actual-ProducedMaterialproduced307g,Material Lot,HYDK3160302,correspondsToLot
Material Actual,465915Actual-ProducedMaterialproduced317g,Material Lot,HYDK3160303,correspondsToLot
Material Actual,465995Actual-ProducedMaterialproduced560g,Material Lot,HYDK3160314,correspondsToLot
Material Actual,465996Actual-ProducedMaterialproduced563g,Material Lot,HYDK3160315,correspondsToLot
Material Actual,465997Actual-ProducedMaterialproduced475g,Material Lot,HYDK3160316,correspondsToLot
Material Actual,465998Actual-ProducedMaterialproduced477g,Material Lot,HYDK3160317,correspondsToLot
Material Actual,465961Actual-ProducedMaterialproduced715g,Material Lot,HYDQ3160304,correspondsToLot
Material Actual,465962Actual-ProducedMaterialproduced712g,Material Lot,HYDQ3160305,correspondsToLot
Material Actual,465963Actual-ProducedMaterialproduced374g,Material Lot,HYDQ3160306,correspondsToLot
Material Actual,465964Actual-ProducedMaterialproduced373g,Material Lot,HYDQ3160307,correspondsToLot
Material Actual,465969Actual-ProducedMaterialproduced731g,Material Lot,HYDL3160304,correspondsToLot
Material Actual,465970Actual-ProducedMaterialproduced731g,Material Lot,HYDL3160305,correspondsToLot
Material Actual,465971Actual-ProducedMaterialproduced262g,Material Lot,HYDL3160306,correspondsToLot
Material Actual,465972Actual-ProducedMaterialproduced260g,Material Lot,HYDL3160307,correspondsToLot
Material Actual,470007Actual-ProducedMaterialproduced404g,Material Lot,HYDQ3050410,correspondsToLot
Material Actual,470008Actual-ProducedMaterialproduced406g,Material Lot,HYDQ3050411,correspondsToLot
Material Actual,470026Actual-ProducedMaterialproduced419g,Material Lot,HYDQ3050412,correspondsToLot
Material Actual,470027Actual-ProducedMaterialproduced401g,Material Lot,HYDQ3050413,correspondsToLot
Material Actual,470073Actual-ProducedMaterialproduced980g,Material Lot,HYDM3050408,correspondsToLot
Material Actual,470074Actual-ProducedMaterialproduced975g,Material Lot,HYDM3050409,correspondsToLot
Material Actual,470103Actual-ProducedMaterialproduced535g,Material Lot,HYDK3060400,correspondsToLot
Material Actual,470104Actual-ProducedMaterialproduced543g,Material Lot,HYDK3060401,correspondsToLot
Material Actual,470028Actual-ProducedMaterialproduced150g,Material Lot,HYDQ3050414,correspondsToLot
Material Actual,470029Actual-ProducedMaterialproduced94g,Material Lot,HYDQ3050415,correspondsToLot
Material Actual,470061Actual-ProducedMaterialproduced575g,Material Lot,HYDK3050416,correspondsToLot
Material Actual,470062Actual-ProducedMaterialproduced577g,Material Lot,HYDK3050417,correspondsToLot
Material Actual,470063Actual-ProducedMaterialproduced496g,Material Lot,HYDK3050418,correspondsToLot
Material Actual,470105Actual-ProducedMaterialproduced462g,Material Lot,HYDK3060402,correspondsToLot
Material Actual,470106Actual-ProducedMaterialproduced462g,Material Lot,HYDK3060403,correspondsToLot
Material Actual,470064Actual-ProducedMaterialproduced492g,Material Lot,HYDK3050419,correspondsToLot
Material Actual,470068Actual-ProducedMaterialproduced706g,Material Lot,HYDQ3050418,correspondsToLot
Material Actual,470069Actual-ProducedMaterialproduced288g,Material Lot,HYDQ3050419,correspondsToLot
Material Actual,470070Actual-ProducedMaterialproduced247g,Material Lot,HYDQ3050420,correspondsToLot
Material Actual,470098Actual-ProducedMaterialproduced354g,Material Lot,HYDQ3060400,correspondsToLot
Material Actual,470099Actual-ProducedMaterialproduced388g,Material Lot,HYDQ3060401,correspondsToLot
Material Actual,470100Actual-ProducedMaterialproduced87g,Material Lot,HYDQ3060402,correspondsToLot
Material Actual,470101Actual-ProducedMaterialproduced139g,Material Lot,HYDQ3060403,correspondsToLot
Material Actual,470112Actual-ProducedMaterialproduced955g,Material Lot,HYDM3060400,correspondsToLot
Material Actual,470113Actual-ProducedMaterialproduced920g,Material Lot,HYDM3060401,correspondsToLot
Material Actual,470130Actual-ProducedMaterialproduced588g,Material Lot,HYDK3060404,correspondsToLot
Material Actual,470131Actual-ProducedMaterialproduced593g,Material Lot,HYDK3060405,correspondsToLot
Material Actual,470132Actual-ProducedMaterialproduced505g,Material Lot,HYDK3060406,correspondsToLot
Material Actual,470056Actual-ProducedMaterialproduced385g,Material Lot,HYDQ3050416,correspondsToLot
Material Actual,470071Actual-ProducedMaterialproduced100g,Material Lot,HYDQ3050421,correspondsToLot
Material Actual,461887Actual-ProducedMaterialproduced1010g,Material Lot,HYDL3210218,correspondsToLot
Material Actual,461888Actual-ProducedMaterialproduced1015g,Material Lot,HYDL3210219,correspondsToLot
Material Actual,461880Actual-ProducedMaterialproduced558g,Material Lot,HYDQ3210212,correspondsToLot
Material Actual,461891Actual-ProducedMaterialproduced453g,Material Lot,HYDM3210214,correspondsToLot
Material Actual,461892Actual-ProducedMaterialproduced451g,Material Lot,HYDM3210215,correspondsToLot
Material Actual,461895Actual-ProducedMaterialproduced453g,Material Lot,HYDM3210216,correspondsToLot
Material Actual,461896Actual-ProducedMaterialproduced451g,Material Lot,HYDM3210217,correspondsToLot
Material Actual,461931Actual-ProducedMaterialproduced1043g,Material Lot,HYDQ3210214,correspondsToLot
Material Actual,461932Actual-ProducedMaterialproduced1040g,Material Lot,HYDQ3210215,correspondsToLot
Material Actual,461933Actual-ProducedMaterialproduced1033g,Material Lot,HYDL3210220,correspondsToLot
Material Actual,461934Actual-ProducedMaterialproduced1029g,Material Lot,HYDL3210221,correspondsToLot
Material Actual,461951Actual-ProducedMaterialproduced1082g,Material Lot,HYDQ3220200,correspondsToLot
Material Actual,461952Actual-ProducedMaterialproduced1085g,Material Lot,HYDQ3220201,correspondsToLot
Material Actual,461935Actual-ProducedMaterialproduced945g,Material Lot,HYDM3210218,correspondsToLot
Material Actual,461958Actual-ProducedMaterialproduced1051g,Material Lot,HYDL3220200,correspondsToLot
Material Actual,461959Actual-ProducedMaterialproduced1044g,Material Lot,HYDL3220201,correspondsToLot
Material Actual,461964Actual-ProducedMaterialproduced985g,Material Lot,HYDM3220200,correspondsToLot
Material Actual,461965Actual-ProducedMaterialproduced985g,Material Lot,HYDM3220201,correspondsToLot
Material Actual,461936Actual-ProducedMaterialproduced945g,Material Lot,HYDM3210219,correspondsToLot
Material Actual,470380Actual-ProducedMaterialproduced864g,Material Lot,HYDQ3070406,correspondsToLot
Material Actual,470412Actual-ProducedMaterialproduced726g,Material Lot,HYDK3070416,correspondsToLot
Material Actual,470413Actual-ProducedMaterialproduced720g,Material Lot,HYDK3070417,correspondsToLot
Material Actual,470414Actual-ProducedMaterialproduced320g,Material Lot,HYDK3070418,correspondsToLot
Material Actual,470415Actual-ProducedMaterialproduced310g,Material Lot,HYDK3070419,correspondsToLot
Material Actual,470381Actual-ProducedMaterialproduced281g,Material Lot,HYDQ3070407,correspondsToLot
Material Actual,470400Actual-ProducedMaterialproduced715g,Material Lot,HYDQ3070412,correspondsToLot
Material Actual,470448Actual-ProducedMaterialproduced512g,Material Lot,HYDQ3070417,correspondsToLot
Material Actual,470382Actual-ProducedMaterialproduced284g,Material Lot,HYDQ3070408,correspondsToLot
Material Actual,470430Actual-ProducedMaterialproduced749g,Material Lot,HYDQ3070413,correspondsToLot
Material Actual,470431Actual-ProducedMaterialproduced751g,Material Lot,HYDQ3070414,correspondsToLot
Material Actual,470432Actual-ProducedMaterialproduced271g,Material Lot,HYDQ3070415,correspondsToLot
Material Actual,470433Actual-ProducedMaterialproduced271g,Material Lot,HYDQ3070416,correspondsToLot
Material Actual,470449Actual-ProducedMaterialproduced410g,Material Lot,HYDQ3070418,correspondsToLot
Material Actual,470450Actual-ProducedMaterialproduced160g,Material Lot,HYDQ3070419,correspondsToLot
Material Actual,470451Actual-ProducedMaterialproduced160g,Material Lot,HYDQ3070420,correspondsToLot
Material Actual,470385Actual-ProducedMaterialproduced838g,Material Lot,HYDM3070404,correspondsToLot
Material Actual,470386Actual-ProducedMaterialproduced859g,Material Lot,HYDM3070405,correspondsToLot
Material Actual,470481Actual-ProducedMaterialproduced720g,Material Lot,HYDK3080400,correspondsToLot
Material Actual,470392Actual-ProducedMaterialproduced723g,Material Lot,HYDK3070412,correspondsToLot
Material Actual,470393Actual-ProducedMaterialproduced740g,Material Lot,HYDK3070413,correspondsToLot
Material Actual,470394Actual-ProducedMaterialproduced320g,Material Lot,HYDK3070414,correspondsToLot
Material Actual,470395Actual-ProducedMaterialproduced318g,Material Lot,HYDK3070415,correspondsToLot
Material Actual,470409Actual-ProducedMaterialproduced890g,Material Lot,HYDM3070406,correspondsToLot
Material Actual,470410Actual-ProducedMaterialproduced886g,Material Lot,HYDM3070407,correspondsToLot
Material Actual,470442Actual-ProducedMaterialproduced760g,Material Lot,HYDK3070420,correspondsToLot
Material Actual,470443Actual-ProducedMaterialproduced760g,Material Lot,HYDK3070421,correspondsToLot
Material Actual,470444Actual-ProducedMaterialproduced336g,Material Lot,HYDK3070422,correspondsToLot
Material Actual,470445Actual-ProducedMaterialproduced326g,Material Lot,HYDK3070423,correspondsToLot
Material Actual,470455Actual-ProducedMaterialproduced900g,Material Lot,HYDM3070408,correspondsToLot
Material Actual,470456Actual-ProducedMaterialproduced914g,Material Lot,HYDM3070409,correspondsToLot
Material Actual,485240Actual-ProducedMaterialproduced500g,Material Lot,HYDL3170624,correspondsToLot
Material Actual,485254Actual-ProducedMaterialproduced644g,Material Lot,HYDK3170621,correspondsToLot
Material Actual,485256Actual-ProducedMaterialproduced470g,Material Lot,HYDK3170623,correspondsToLot
Material Actual,485257Actual-ProducedMaterialproduced477g,Material Lot,HYDK3170624,correspondsToLot
Material Actual,485284Actual-ProducedMaterialproduced839g,Material Lot,HYDM3180602,correspondsToLot
Material Actual,485285Actual-ProducedMaterialproduced840g,Material Lot,HYDM3180603,correspondsToLot
Material Actual,485287Actual-ProducedMaterialproduced610g,Material Lot,HYDK3180600,correspondsToLot
Material Actual,485288Actual-ProducedMaterialproduced598g,Material Lot,HYDK3180601,correspondsToLot
Material Actual,485291Actual-ProducedMaterialproduced445g,Material Lot,HYDK3180602,correspondsToLot
Material Actual,485292Actual-ProducedMaterialproduced431g,Material Lot,HYDK3180603,correspondsToLot
Material Actual,486353Actual-ProducedMaterialproduced394g,Material Lot,HYDQ3180607,correspondsToLot
Material Actual,486358Actual-ProducedMaterialproduced700g,Material Lot,HYDL3180613,correspondsToLot
Material Actual,486359Actual-ProducedMaterialproduced693g,Material Lot,HYDL3180614,correspondsToLot
Material Actual,486360Actual-ProducedMaterialproduced373g,Material Lot,HYDL3180615,correspondsToLot
Material Actual,486361Actual-ProducedMaterialproduced367g,Material Lot,HYDL3180616,correspondsToLot
Material Actual,486373Actual-ProducedMaterialproduced486g,Material Lot,HYDK3180613,correspondsToLot
Material Actual,485294Actual-ProducedMaterialproduced578g,Material Lot,HYDL3180605,correspondsToLot
Material Actual,485308Actual-ProducedMaterialproduced638g,Material Lot,HYDQ3180600,correspondsToLot
Material Actual,485309Actual-ProducedMaterialproduced636g,Material Lot,HYDQ3180601,correspondsToLot
Material Actual,485311Actual-ProducedMaterialproduced394g,Material Lot,HYDQ3180602,correspondsToLot
Material Actual,485312Actual-ProducedMaterialproduced392g,Material Lot,HYDQ3180603,correspondsToLot
Material Actual,485295Actual-ProducedMaterialproduced495g,Material Lot,HYDL3180606,correspondsToLot
Material Actual,486374Actual-ProducedMaterialproduced518g,Material Lot,HYDK3180614,correspondsToLot
Material Actual,486375Actual-ProducedMaterialproduced405g,Material Lot,HYDK3180615,correspondsToLot
Material Actual,486376Actual-ProducedMaterialproduced405g,Material Lot,HYDK3180616,correspondsToLot
Material Actual,486387Actual-ProducedMaterialproduced412g,Material Lot,HYDQ3180611,correspondsToLot
Material Actual,485296Actual-ProducedMaterialproduced493g,Material Lot,HYDL3180607,correspondsToLot
Material Actual,485301Actual-ProducedMaterialproduced595g,Material Lot,HYDK3180604,correspondsToLot
Material Actual,485302Actual-ProducedMaterialproduced614g,Material Lot,HYDK3180605,correspondsToLot
Material Actual,485303Actual-ProducedMaterialproduced467g,Material Lot,HYDK3180606,correspondsToLot
Material Actual,485304Actual-ProducedMaterialproduced485g,Material Lot,HYDK3180607,correspondsToLot
Material Actual,485320Actual-ProducedMaterialproduced693g,Material Lot,HYDL3180609,correspondsToLot
