Source type,Source PrimaryKey,Target Type,Target PrimaryKey,Relationship Type
Material Lot,HYDM3140620,Material Definition,PITXMPL480G46,definedBy
Material Lot,HYDM3140621,Material Definition,PITXMPL480G46,definedBy
Material Lot,HYDM3140622,Material Definition,PITXMPL420G46,definedBy
Material Lot,HYDM3140623,Material Definition,PITXMPL420G46,definedBy
Material Lot,HYDQ3150600,Material Definition,PITXMPL720G46,definedBy
Material Lot,HYDQ3150601,Material Definition,PITXMPL720G46,definedBy
Material Lot,HYDQ3150602,Material Definition,PITXMPL240G46,definedBy
Material Lot,HYDQ3150603,Material Definition,PITXMPL240G46,definedBy
Material Lot,HYDQ3140614,Material Definition,PITXMPL720G46,definedBy
Material Lot,HYDQ3140615,Material Definition,PITXMPL720G46,definedBy
Material Lot,HYDQ3140616,Material Definition,PITXMPL240G46,definedBy
Material Lot,HYDQ3140617,Material Definition,PITXMPL240G46,definedBy
Material Lot,HYDL3140620,Material Definition,PITXMPL640G35,definedBy
Material Lot,HYDL3140621,Material Definition,PITXMPL640G35,definedBy
Material Lot,HYDL3140625,Material Definition,PITXMPL640G35,definedBy
Material Lot,HYDL3140626,Material Definition,PITXMPL640G35,definedBy
Material Lot,HYDL3140627,Material Definition,PITXMPL320G35,definedBy
Material Lot,HYDL3140628,Material Definition,PITXMPL320G35,definedBy
Material Lot,HYDL3140622,Material Definition,PITXMPL320G35,definedBy
Material Lot,HYDM3150602,Material Definition,PITXMPL760G46,definedBy
Material Lot,HYDM3150603,Material Definition,PITXMPL760G46,definedBy
Material Lot,HYDL3140623,Material Definition,PITXMPL320G35,definedBy
Material Lot,HYDQ3140618,Material Definition,PITXMPL720G46,definedBy
Material Lot,HYDQ3140619,Material Definition,PITXMPL720G46,definedBy
Material Lot,HYDQ3140620,Material Definition,PITXMPL240G46,definedBy
Material Lot,HYDQ3140621,Material Definition,PITXMPL240G46,definedBy
Material Lot,HYDK3140607,Material Definition,PITXMPL960G43,definedBy
Material Lot,HYDK3140608,Material Definition,PITXMPL960G43,definedBy
Material Lot,HYDM3150601,Material Definition,PITXMPL760G46,definedBy
Material Lot,HYDK3160304,Material Definition,PITXMPL520G35,definedBy
Material Lot,HYDK3160305,Material Definition,PITXMPL520G35,definedBy
Material Lot,HYDQ3160300,Material Definition,PITXMPL640G43,definedBy
Material Lot,HYDQ3160301,Material Definition,PITXMPL640G43,definedBy
Material Lot,HYDQ3160302,Material Definition,PITXMPL320G43,definedBy
Material Lot,HYDQ3160303,Material Definition,PITXMPL320G43,definedBy
Material Lot,HYDK3160306,Material Definition,PITXMPL520G35,definedBy
Material Lot,HYDK3160307,Material Definition,PITXMPL520G35,definedBy
Material Lot,HYDK3160308,Material Definition,PITXMPL440G35,definedBy
Material Lot,HYDK3160309,Material Definition,PITXMPL440G35,definedBy
Material Lot,HYDL3160300,Material Definition,PITXMPL720G29,definedBy
Material Lot,HYDL3160301,Material Definition,PITXMPL720G29,definedBy
