Source type,Source PrimaryKey,Target Type,Target PrimaryKey,Relationship Type
Operations event,142979-BREADBLAST04,Hierarchy Scope,HS-BREADBLAST04BREADBLAST04WorkCell,hierarchyScopeRel
Operations event,154881-BREADBLAST04,Hierarchy Scope,HS-BREADBLAST04BREADBLAST04WorkCell,hierarchyScopeRel
Operations event,154883-BREADBLAST05,Hierarchy Scope,HS-BREADBLAST05BREADBLAST05WorkCell,hierarchyScopeRel
Operations event,154910-BREADBLAST06,Hierarchy Scope,HS-BREADBLAST06BREADBLAST06WorkCell,hierarchyScopeRel
Operations event,154878-BREADBLAST04,Hierarchy Scope,HS-BREADBLAST04BREADBLAST04WorkCell,hierarchyScopeRel
Operations event,154930-BREADBLAST06,Hierarchy Scope,HS-BREADBLAST06BREADBLAST06WorkCell,hierarchyScopeRel
Operations event,154931-BREADBLAST06,Hierarchy Scope,HS-BREADBLAST06BREADBLAST06WorkCell,hierarchyScopeRel
Operations event,154932-BREADBLAST06,Hierarchy Scope,HS-BREADBLAST06BREADBLAST06WorkCell,hierarchyScopeRel
Operations event,154956-BREADBLAST06,Hierarchy Scope,HS-BREADBLAST06BREADBLAST06WorkCell,hierarchyScopeRel
Operations event,154933-BREADBLAST06,Hierarchy Scope,HS-BREADBLAST06BREADBLAST06WorkCell,hierarchyScopeRel
Operations event,154948-BREADBLAST06,Hierarchy Scope,HS-BREADBLAST06BREADBLAST06WorkCell,hierarchyScopeRel
Operations event,154949-BREADBLAST06,Hierarchy Scope,HS-BREADBLAST06BREADBLAST06WorkCell,hierarchyScopeRel
Operations event,154952-BREADBLAST06,Hierarchy Scope,HS-BREADBLAST06BREADBLAST06WorkCell,hierarchyScopeRel
Operations event,154957-BREADBLAST06,Hierarchy Scope,HS-BREADBLAST06BREADBLAST06WorkCell,hierarchyScopeRel
Operations event,154971-BREADBLAST04,Hierarchy Scope,HS-BREADBLAST04BREADBLAST04WorkCell,hierarchyScopeRel
Operations event,154973-BREADBLAST06,Hierarchy Scope,HS-BREADBLAST06BREADBLAST06WorkCell,hierarchyScopeRel
Operations event,154974-BREADBLAST04,Hierarchy Scope,HS-BREADBLAST04BREADBLAST04WorkCell,hierarchyScopeRel
