Source type,Source PrimaryKey,Target Type,Target PrimaryKey,Relationship Type
Segment Response,SRPS-0125545001001-484618,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125545001001-484618,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0125545001001-484619,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125545001001-484619,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0125545001001_001-484620,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125545001001_001-484620,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0125545001001_001-484621,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125545001001_001-484621,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0126444001001-484656,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0126444001001-484656,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0126444001001-484657,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0126444001001-484657,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0126444001001_001-484658,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0126444001001_001-484658,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0126444001001_001-484659,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0126444001001_001-484659,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0126444001001-484563,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0126444001001-484563,Segment Data,Crew-BBNA,containsData
Segment Response,SRPS-0126444001001-484564,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0126444001001-484564,Segment Data,Crew-BBNA,containsData
Segment Response,SRPS-0126444001001_001-484565,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0126444001001_001-484565,Segment Data,Crew-BBNA,containsData
Segment Response,SRPS-0126444001001_001-484567,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0126444001001_001-484567,Segment Data,Crew-BBNA,containsData
Segment Response,SRPS-0126618001001-484572,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0126618001001-484572,Segment Data,Crew-BBNA,containsData
Segment Response,SRPS-0126618001001-484573,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0126618001001-484573,Segment Data,Crew-BBNA,containsData
Segment Response,SRPS-0126618001001-484607,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0126618001001-484607,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0126618001001-484608,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0126618001001-484608,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0126618001001_001-484609,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0126618001001_001-484609,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0126618001001_001-484610,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0126618001001_001-484610,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0126618001001_001-484574,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0126618001001_001-484574,Segment Data,Crew-BBNA,containsData
Segment Response,SRPS-0126202001001-484675,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0126202001001-484675,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0126202001001-484676,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0126202001001-484676,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0126618001001_001-484575,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0126618001001_001-484575,Segment Data,Crew-BBNA,containsData
Segment Response,SRPS-0126444001001-484628,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0126444001001-484628,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0126444001001-484629,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0126444001001-484629,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0126444001001_001-484630,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0126444001001_001-484630,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0126444001001_001-484631,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0126444001001_001-484631,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0126275001001-484634,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0126275001001-484634,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0126275001001-484635,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0126275001001-484635,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0126202001001-484645,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0126202001001-484645,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0125036001001-465918,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125036001001-465918,Segment Data,Crew-DDNA,containsData
Segment Response,SRPS-0125036001001-465919,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125036001001-465919,Segment Data,Crew-DDNA,containsData
Segment Response,SRPS-0124941001001-465922,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0124941001001-465922,Segment Data,Crew-DDNA,containsData
Segment Response,SRPS-0124941001001-465923,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0124941001001-465923,Segment Data,Crew-DDNA,containsData
Segment Response,SRPS-0124941001001_001-465924,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0124941001001_001-465924,Segment Data,Crew-DDNA,containsData
Segment Response,SRPS-0124941001001_001-465925,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0124941001001_001-465925,Segment Data,Crew-DDNA,containsData
Segment Response,SRPS-0125036001001-465934,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125036001001-465934,Segment Data,Crew-DDNA,containsData
Segment Response,SRPS-0125036001001-465935,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125036001001-465935,Segment Data,Crew-DDNA,containsData
Segment Response,SRPS-0125036001001_001-465936,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125036001001_001-465936,Segment Data,Crew-DDNA,containsData
Segment Response,SRPS-0125036001001_001-465937,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125036001001_001-465937,Segment Data,Crew-DDNA,containsData
Segment Response,SRPS-0125019001001-465940,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125019001001-465940,Segment Data,Crew-DDNA,containsData
Segment Response,SRPS-0125019001001-465941,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125019001001-465941,Segment Data,Crew-DDNA,containsData
Segment Response,SRPS-0125019001001_001-465942,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125019001001_001-465942,Segment Data,Crew-DDNA,containsData
Segment Response,SRPS-0125019001001_001-465943,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125019001001_001-465943,Segment Data,Crew-DDNA,containsData
Segment Response,SRPS-0125036001001-465954,Segment Data,Crew-CCNA,containsData
Segment Response,SRPS-0125036001001-465954,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0125036001001-465955,Segment Data,Crew-CCNA,containsData
Segment Response,SRPS-0125036001001-465955,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0125036001001_001-465956,Segment Data,Crew-CCNA,containsData
Segment Response,SRPS-0125036001001_001-465956,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0125036001001_001-465957,Segment Data,Crew-CCNA,containsData
Segment Response,SRPS-0125036001001_001-465957,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0125036001001-465912,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125036001001-465912,Segment Data,Crew-DDNA,containsData
Segment Response,SRPS-0125036001001-465913,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125036001001-465913,Segment Data,Crew-DDNA,containsData
Segment Response,SRPS-0125036001001_001-465914,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125036001001_001-465914,Segment Data,Crew-DDNA,containsData
Segment Response,SRPS-0125036001001_001-465915,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125036001001_001-465915,Segment Data,Crew-DDNA,containsData
Segment Response,SRPS-0125036001001-465995,Segment Data,Crew-CCNA,containsData
Segment Response,SRPS-0125036001001-465995,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0125036001001-465996,Segment Data,Crew-CCNA,containsData
Segment Response,SRPS-0125036001001-465996,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0125036001001_001-465997,Segment Data,Crew-CCNA,containsData
Segment Response,SRPS-0125036001001_001-465997,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0125036001001_001-465998,Segment Data,Crew-CCNA,containsData
Segment Response,SRPS-0125036001001_001-465998,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0124941001001-465961,Segment Data,Crew-CCNA,containsData
Segment Response,SRPS-0124941001001-465961,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0124941001001-465962,Segment Data,Crew-CCNA,containsData
Segment Response,SRPS-0124941001001-465962,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0124941001001_001-465963,Segment Data,Crew-CCNA,containsData
Segment Response,SRPS-0124941001001_001-465963,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0124941001001_001-465964,Segment Data,Crew-CCNA,containsData
Segment Response,SRPS-0124941001001_001-465964,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0125019001001-465969,Segment Data,Crew-CCNA,containsData
Segment Response,SRPS-0125019001001-465969,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0125019001001-465970,Segment Data,Crew-CCNA,containsData
Segment Response,SRPS-0125019001001-465970,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0125019001001_001-465971,Segment Data,Crew-CCNA,containsData
Segment Response,SRPS-0125019001001_001-465971,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0125019001001_001-465972,Segment Data,Crew-CCNA,containsData
Segment Response,SRPS-0125019001001_001-465972,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0125345001001_001-470007,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0125345001001_001-470007,Segment Data,Crew-BBNA,containsData
Segment Response,SRPS-0125345001001_001-470008,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0125345001001_001-470008,Segment Data,Crew-BBNA,containsData
Segment Response,SRPS-0125111001001-470026,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0125111001001-470026,Segment Data,Crew-BBNA,containsData
Segment Response,SRPS-0125111001001-470027,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0125111001001-470027,Segment Data,Crew-BBNA,containsData
Segment Response,SRPS-0125270001001-470073,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125270001001-470073,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0125270001001-470074,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125270001001-470074,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0125305001001-470103,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125305001001-470103,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0125305001001-470104,Segment Data,Shift2Shift2NA,containsData
Segment Response,SRPS-0125305001001-470104,Segment Data,Crew-AANA,containsData
Segment Response,SRPS-0125111001001_001-470028,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0125111001001_001-470028,Segment Data,Crew-BBNA,containsData
Segment Response,SRPS-0125111001001_001-470029,Segment Data,Shift1Shift1NA,containsData
Segment Response,SRPS-0125111001001_001-470029,Segment Data,Crew-BBNA,containsData
