Date,Year,MonthNumberOfYear,WeekNumberOfYear,DayNumberOfMonth,WeekdayNumber,WeekdayShortName,WeekdayLongName,QuarterNumberOfYear,MonthShortName,MonthLongName,YYYY-MM,YYYY-QQ
7/1/2012,2012,7,27,1,1,Sun,Sunday,3,Jul,July,2012-07,2012-03
7/2/2012,2012,7,27,2,2,Mon,Monday,3,Jul,July,2012-07,2012-03
7/3/2012,2012,7,27,3,3,Tue,Tuesday,3,Jul,July,2012-07,2012-03
7/4/2012,2012,7,27,4,4,Wed,Wednesday,3,Jul,July,2012-07,2012-03
7/5/2012,2012,7,27,5,5,Thu,Thursday,3,Jul,July,2012-07,2012-03
7/6/2012,2012,7,27,6,6,Fri,Friday,3,Jul,July,2012-07,2012-03
7/7/2012,2012,7,27,7,7,Sat,Saturday,3,Jul,July,2012-07,2012-03
7/8/2012,2012,7,28,8,1,Sun,Sunday,3,Jul,July,2012-07,2012-03
7/9/2012,2012,7,28,9,2,Mon,Monday,3,Jul,July,2012-07,2012-03
7/10/2012,2012,7,28,10,3,Tue,Tuesday,3,Jul,July,2012-07,2012-03
7/11/2012,2012,7,28,11,4,Wed,Wednesday,3,Jul,July,2012-07,2012-03
7/12/2012,2012,7,28,12,5,Thu,Thursday,3,Jul,July,2012-07,2012-03
7/13/2012,2012,7,28,13,6,Fri,Friday,3,Jul,July,2012-07,2012-03
7/14/2012,2012,7,28,14,7,Sat,Saturday,3,Jul,July,2012-07,2012-03
7/15/2012,2012,7,29,15,1,Sun,Sunday,3,Jul,July,2012-07,2012-03
7/16/2012,2012,7,29,16,2,Mon,Monday,3,Jul,July,2012-07,2012-03
7/17/2012,2012,7,29,17,3,Tue,Tuesday,3,Jul,July,2012-07,2012-03
7/18/2012,2012,7,29,18,4,Wed,Wednesday,3,Jul,July,2012-07,2012-03
7/19/2012,2012,7,29,19,5,Thu,Thursday,3,Jul,July,2012-07,2012-03
7/20/2012,2012,7,29,20,6,Fri,Friday,3,Jul,July,2012-07,2012-03
7/21/2012,2012,7,29,21,7,Sat,Saturday,3,Jul,July,2012-07,2012-03
7/22/2012,2012,7,30,22,1,Sun,Sunday,3,Jul,July,2012-07,2012-03
7/23/2012,2012,7,30,23,2,Mon,Monday,3,Jul,July,2012-07,2012-03
7/24/2012,2012,7,30,24,3,Tue,Tuesday,3,Jul,July,2012-07,2012-03
7/25/2012,2012,7,30,25,4,Wed,Wednesday,3,Jul,July,2012-07,2012-03
7/26/2012,2012,7,30,26,5,Thu,Thursday,3,Jul,July,2012-07,2012-03
7/27/2012,2012,7,30,27,6,Fri,Friday,3,Jul,July,2012-07,2012-03
7/28/2012,2012,7,30,28,7,Sat,Saturday,3,Jul,July,2012-07,2012-03
7/29/2012,2012,7,31,29,1,Sun,Sunday,3,Jul,July,2012-07,2012-03
7/30/2012,2012,7,31,30,2,Mon,Monday,3,Jul,July,2012-07,2012-03
7/31/2012,2012,7,31,31,3,Tue,Tuesday,3,Jul,July,2012-07,2012-03
8/1/2012,2012,8,31,1,4,Wed,Wednesday,3,Aug,August,2012-08,2012-03
8/2/2012,2012,8,31,2,5,Thu,Thursday,3,Aug,August,2012-08,2012-03
8/3/2012,2012,8,31,3,6,Fri,Friday,3,Aug,August,2012-08,2012-03
8/4/2012,2012,8,31,4,7,Sat,Saturday,3,Aug,August,2012-08,2012-03
8/5/2012,2012,8,32,5,1,Sun,Sunday,3,Aug,August,2012-08,2012-03
8/6/2012,2012,8,32,6,2,Mon,Monday,3,Aug,August,2012-08,2012-03
8/7/2012,2012,8,32,7,3,Tue,Tuesday,3,Aug,August,2012-08,2012-03
8/8/2012,2012,8,32,8,4,Wed,Wednesday,3,Aug,August,2012-08,2012-03
8/9/2012,2012,8,32,9,5,Thu,Thursday,3,Aug,August,2012-08,2012-03
8/10/2012,2012,8,32,10,6,Fri,Friday,3,Aug,August,2012-08,2012-03
8/11/2012,2012,8,32,11,7,Sat,Saturday,3,Aug,August,2012-08,2012-03
8/12/2012,2012,8,33,12,1,Sun,Sunday,3,Aug,August,2012-08,2012-03
8/13/2012,2012,8,33,13,2,Mon,Monday,3,Aug,August,2012-08,2012-03
8/14/2012,2012,8,33,14,3,Tue,Tuesday,3,Aug,August,2012-08,2012-03
8/15/2012,2012,8,33,15,4,Wed,Wednesday,3,Aug,August,2012-08,2012-03
8/16/2012,2012,8,33,16,5,Thu,Thursday,3,Aug,August,2012-08,2012-03
8/17/2012,2012,8,33,17,6,Fri,Friday,3,Aug,August,2012-08,2012-03
8/18/2012,2012,8,33,18,7,Sat,Saturday,3,Aug,August,2012-08,2012-03
8/19/2012,2012,8,34,19,1,Sun,Sunday,3,Aug,August,2012-08,2012-03
8/20/2012,2012,8,34,20,2,Mon,Monday,3,Aug,August,2012-08,2012-03
8/21/2012,2012,8,34,21,3,Tue,Tuesday,3,Aug,August,2012-08,2012-03
8/22/2012,2012,8,34,22,4,Wed,Wednesday,3,Aug,August,2012-08,2012-03
8/23/2012,2012,8,34,23,5,Thu,Thursday,3,Aug,August,2012-08,2012-03
8/24/2012,2012,8,34,24,6,Fri,Friday,3,Aug,August,2012-08,2012-03
8/25/2012,2012,8,34,25,7,Sat,Saturday,3,Aug,August,2012-08,2012-03
8/26/2012,2012,8,35,26,1,Sun,Sunday,3,Aug,August,2012-08,2012-03
8/27/2012,2012,8,35,27,2,Mon,Monday,3,Aug,August,2012-08,2012-03
8/28/2012,2012,8,35,28,3,Tue,Tuesday,3,Aug,August,2012-08,2012-03
8/29/2012,2012,8,35,29,4,Wed,Wednesday,3,Aug,August,2012-08,2012-03
8/30/2012,2012,8,35,30,5,Thu,Thursday,3,Aug,August,2012-08,2012-03
8/31/2012,2012,8,35,31,6,Fri,Friday,3,Aug,August,2012-08,2012-03
9/1/2012,2012,9,35,1,7,Sat,Saturday,3,Sep,September,2012-09,2012-03
9/2/2012,2012,9,36,2,1,Sun,Sunday,3,Sep,September,2012-09,2012-03
9/3/2012,2012,9,36,3,2,Mon,Monday,3,Sep,September,2012-09,2012-03
9/4/2012,2012,9,36,4,3,Tue,Tuesday,3,Sep,September,2012-09,2012-03
9/5/2012,2012,9,36,5,4,Wed,Wednesday,3,Sep,September,2012-09,2012-03
9/6/2012,2012,9,36,6,5,Thu,Thursday,3,Sep,September,2012-09,2012-03
9/7/2012,2012,9,36,7,6,Fri,Friday,3,Sep,September,2012-09,2012-03
9/8/2012,2012,9,36,8,7,Sat,Saturday,3,Sep,September,2012-09,2012-03
9/9/2012,2012,9,37,9,1,Sun,Sunday,3,Sep,September,2012-09,2012-03
9/10/2012,2012,9,37,10,2,Mon,Monday,3,Sep,September,2012-09,2012-03
9/11/2012,2012,9,37,11,3,Tue,Tuesday,3,Sep,September,2012-09,2012-03
9/12/2012,2012,9,37,12,4,Wed,Wednesday,3,Sep,September,2012-09,2012-03
9/13/2012,2012,9,37,13,5,Thu,Thursday,3,Sep,September,2012-09,2012-03
9/14/2012,2012,9,37,14,6,Fri,Friday,3,Sep,September,2012-09,2012-03
9/15/2012,2012,9,37,15,7,Sat,Saturday,3,Sep,September,2012-09,2012-03
9/16/2012,2012,9,38,16,1,Sun,Sunday,3,Sep,September,2012-09,2012-03
9/17/2012,2012,9,38,17,2,Mon,Monday,3,Sep,September,2012-09,2012-03
9/18/2012,2012,9,38,18,3,Tue,Tuesday,3,Sep,September,2012-09,2012-03
9/19/2012,2012,9,38,19,4,Wed,Wednesday,3,Sep,September,2012-09,2012-03
9/20/2012,2012,9,38,20,5,Thu,Thursday,3,Sep,September,2012-09,2012-03
9/21/2012,2012,9,38,21,6,Fri,Friday,3,Sep,September,2012-09,2012-03
9/22/2012,2012,9,38,22,7,Sat,Saturday,3,Sep,September,2012-09,2012-03
9/23/2012,2012,9,39,23,1,Sun,Sunday,3,Sep,September,2012-09,2012-03
9/24/2012,2012,9,39,24,2,Mon,Monday,3,Sep,September,2012-09,2012-03
9/25/2012,2012,9,39,25,3,Tue,Tuesday,3,Sep,September,2012-09,2012-03
9/26/2012,2012,9,39,26,4,Wed,Wednesday,3,Sep,September,2012-09,2012-03
9/27/2012,2012,9,39,27,5,Thu,Thursday,3,Sep,September,2012-09,2012-03
9/28/2012,2012,9,39,28,6,Fri,Friday,3,Sep,September,2012-09,2012-03
9/29/2012,2012,9,39,29,7,Sat,Saturday,3,Sep,September,2012-09,2012-03
9/30/2012,2012,9,40,30,1,Sun,Sunday,3,Sep,September,2012-09,2012-03
10/1/2012,2012,10,40,1,2,Mon,Monday,4,Oct,October,2012-10,2012-04
10/2/2012,2012,10,40,2,3,Tue,Tuesday,4,Oct,October,2012-10,2012-04
10/3/2012,2012,10,40,3,4,Wed,Wednesday,4,Oct,October,2012-10,2012-04
10/4/2012,2012,10,40,4,5,Thu,Thursday,4,Oct,October,2012-10,2012-04
10/5/2012,2012,10,40,5,6,Fri,Friday,4,Oct,October,2012-10,2012-04
